ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID
g8j,Li3.26Sn0.26P0.74S4,,Li3.26 Sn0.26 P0.74 S4,0.00453,,,,,,,,,,,lgps,10.1039/c4fd00143e,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2014,,,,,
bim,Li3.25Sn0.25P0.75S4,,Li3.25 Sn0.25 P0.75 S4,0.0036,,,,,,,,,,,lgps,10.1039/c4fd00143e,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2014,,,,,
02p,Li10Si(PS6)2,,Li10 Si1 P2 S12,0.0023,,,,,,,,,,,lgps,10.1149/2.0501412jes,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2014,,,,,
ueu,Li5.74La3Zr1.5Ta0.5O12,,Li5.74 La3 Zr1.5 Ta0.5 O12,0.000903,,,,,,,,,,,garnet,10.1002/aenm.201500096|10.1002/aenm.201570062,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
uwh,Li5.08La3Zr0.39Ta1.51O12,,Li5.08 La3 Zr0.39 Ta1.51 O12,0.000103,,,,,,,,,,,garnet,10.1002/aenm.201500096|10.1002/aenm.201570062,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
6j9,Li1.15Ti1.85Fe0.15P3O12,,Li1.15 Ti1.85 Fe0.15 P3 O12,0.000522,,,,,,,,,,,nasicon,10.1007/s11164-013-1348-0,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
ed4,Li1.2Al0.2Ge1.8P3O12,,Li1.2 Al0.2 Ge1.8 P3 O12,7.94e-05,,,,,,,,,,,nasicon,10.1016/j.jeurceramsoc.2014.11.023,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
72f,Li6.26La3Zr2Al0.24O12,,Li6.26 La3 Zr2 Al0.24 O12,0.00021,,,,,,,,,,,garnet,10.1016/j.ssi.2015.04.011,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
goi,LiH7C3NClO,,Li1 H7 C3 N1 Cl1 O1,0.00016,,,,,,,,,,,organic_salts,10.1021/acs.chemmater.5b00940,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
5z8,Li5.72La3Zr1.5Al0.26W0.25O12,,Li5.72 La3 Zr1.5 Al0.26 W0.25 O12,0.00049,,,,,,,,,,,garnet,10.1021/acs.chemmater.5b02429,1,data/database/obelix/processed/all-v1.csv,,,,composition check; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
5d6,Li6.8La3Zr1.9Mo0.1O12,,Li6.8 La3 Zr1.9 Mo0.1 O12,8e-05,,,,,,,,,,,garnet,10.1021/acs.inorgchem.5b01895,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
ciq,Li6.6La3Zr1.8Mo0.2O12,,Li6.6 La3 Zr1.8 Mo0.2 O12,0.000311,,,,,,,,,,,garnet,10.1021/acs.inorgchem.5b01895,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
suz,Li6.4La3Zr1.7Mo0.3O12,,Li6.4 La3 Zr1.7 Mo0.3 O12,0.000369,,,,,,,,,,,garnet,10.1021/acs.inorgchem.5b01895,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
1tk,Li6.2La3Zr1.6Mo0.4O12,,Li6.2 La3 Zr1.6 Mo0.4 O12,0.00034,,,,,,,,,,,garnet,10.1021/acs.inorgchem.5b01895,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
9o6,Li6.5La3Zr1.75Mo0.25O12,,Li6.5 La3 Zr1.75 Mo0.25 O12,0.000333,,,,,,,,,,,garnet,10.1021/acs.inorgchem.5b01895,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
xas,Li2SnS3,,Li2 Sn1 S3,1.5e-05,,,,,,,,,,,sulfides,10.1021/cm5037524,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
wa3,Li51.2La24Zr16Al1.6O96,,Li51.2 La24 Zr16 Al1.6 O96,0.000254,,,,,,,,,,,garnet,10.1038/srep18053,1,data/database/obelix/processed/all-v1.csv,,,,"Z, composition incorrect; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015",,,,,
l6h,Li49.6La24Zr14.4Ta1.6Al1.6O96,,Li49.6 La24 Zr14.4 Ta1.6 Al1.6 O96,0.000614,,,,,,,,,,,garnet,10.1038/srep18053,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
52b,Li10.05Ge1.05P1.95S12,,Li10.05 Ge1.05 P1.95 S12,0.0122,,,,,,,,,,,lgps,10.1039/c4ta05231e,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
8po,Li10.2Ge1.2P1.8S12,,Li10.2 Ge1.2 P1.8 S12,0.0132,,,,,,,,,,,lgps,10.1039/c4ta05231e,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
ya8,Li10.5Ge1.5P1.5S12,,Li10.5 Ge1.5 P1.5 S12,0.011,,,,,,,,,,,lgps,10.1039/c4ta05231e,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
824,Li10.35Ge1.35P1.65S12,,Li10.35 Ge1.35 P1.65 S12,0.0144,,,,,,,,,,,lgps,10.1039/c4ta05231e,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
nip,Li9.81Sn0.81P2.19S12,,Li9.81 Sn0.81 P2.19 S12,0.0055,,,,,,,,,,,lgps,10.1107/s2052520615022283,1,data/database/obelix/processed/all-v1.csv,,,,partial occupancy corrected; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
k4x,Li10.35Si1.35P1.65S12,,Li10.35 Si1.35 P1.65 S12,0.0065,,,,,,,,,,,lgps,10.1107/s2052520615022283,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2015,,,,,
f5n,Li2H0.9Cl1O0.9F0.1,,Li2 H0.9 Cl1 O0.9 F0.1,3.86e-05,,,,,,,,,,,antiperovskite,10.1002/anie.201604554,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
qbb,Li3BrO,,Li3 Br1 O1,1.1e-06,,,,,,,,,,,antiperovskite,10.1016/j.ssi.2015.11.027,1,data/database/obelix/processed/all-v1.csv,,,,close match: Yes；close match DOI: 10.1515/znb-1989-1103; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
mtr,Li5.68La2.95Zr2Fe0.16O12,,Li5.68 La2.95 Zr2 Fe0.16 O12,0.000935,,,,,,,,,,,garnet,10.1021/acs.chemmater.6b02516,1,data/database/obelix/processed/all-v1.csv,,,,check the composition; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
s2v,Li5.57La2.95Zr2Fe0.19O12,,Li5.57 La2.95 Zr2 Fe0.19 O12,0.00138,,,,,,,,,,,garnet,10.1021/acs.chemmater.6b02516,1,data/database/obelix/processed/all-v1.csv,,,,check the composition; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
oi4,Sr0.4375Li0.375Hf0.25Ta0.75O3,,Sr0.4375 Li0.375 Hf0.25 Ta0.75 O3,0.00038,,,,,,,,,,,perovskites,10.1021/acsami.6b03070,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
ikh,Li9.6P3S12,,Li9.6 P3 S12,0.0012,,,,,,,,,,,lgps,10.1038/nenergy.2016.30,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
ete,Li9.54Si1.74P1.44S11.7Cl0.3,,Li9.54 Si1.74 P1.44 S11.7 Cl0.3,0.025,,,,,,,,,,,lgps,10.1038/nenergy.2016.30,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
opo,Li0.8Sn0.8S2,,Li0.8 Sn0.8 S2,0.00012,,,,,,,,,,,layered,10.1039/c6ee00633g,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
bt0,Ba0.05Li6.5La2.95Zr1.45Ta0.55O12,,Ba0.05 Li6.5 La2.95 Zr1.45 Ta0.55 O12,0.000832,,,,,,,,,,,garnet,10.3389/fenrg.2016.00028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
dti,Ba0.1Li6.5La2.9Zr1.4Ta0.6O12,,Ba0.1 Li6.5 La2.9 Zr1.4 Ta0.6 O12,0.000834,,,,,,,,,,,garnet,10.3389/fenrg.2016.00028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
7gm,Ba0.2Li6.5La2.8Zr1.3Ta0.7O12,,Ba0.2 Li6.5 La2.8 Zr1.3 Ta0.7 O12,0.000631,,,,,,,,,,,garnet,10.3389/fenrg.2016.00028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
c71,Ba0.3Li6.5La2.7Zr1.2Ta0.8O12,,Ba0.3 Li6.5 La2.7 Zr1.2 Ta0.8 O12,0.000492,,,,,,,,,,,garnet,10.3389/fenrg.2016.00028,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2016,,,,,
lk8,Li0.45La0.55Ti0.9Al0.1O3,,Li0.45 La0.55 Ti0.9 Al0.1 O3,0.00151,,,,,,,,,,,perovskites,10.1016/j.jallcom.2017.05.278,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
lud,Li0.4La0.6Ti0.8Al0.2O3,,Li0.4 La0.6 Ti0.8 Al0.2 O3,0.000568,,,,,,,,,,,perovskites,10.1016/j.jallcom.2017.05.278,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
vlm,Li0.35La0.65Ti0.7Al0.3O3,,Li0.35 La0.65 Ti0.7 Al0.3 O3,0.000161,,,,,,,,,,,perovskites,10.1016/j.jallcom.2017.05.278,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
24k,Li7Ge3PS12,,Li7 Ge3 P1 S12,0.00011,,,,,,,,,,,argyrodites,10.1016/j.jssc.2016.12.001,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
906,Ba0.1Li9.8Ge1P2S12,,Ba0.1 Li9.8 Ge1 P2 S12,0.000561,,,,,,,,,,,lgps,10.1016/j.ssi.2017.01.014,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
fnu,Ba0.2Li9.6Ge1P2S12,,Ba0.2 Li9.6 Ge1 P2 S12,0.000572,,,,,,,,,,,lgps,10.1016/j.ssi.2017.01.014,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
pfi,Ba0.3Li9.4Ge1P2S12,,Ba0.3 Li9.4 Ge1 P2 S12,0.000707,,,,,,,,,,,lgps,10.1016/j.ssi.2017.01.014,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
f0h,Ba0.4Li9.2Ge1P2S12,,Ba0.4 Li9.2 Ge1 P2 S12,0.000316,,,,,,,,,,,lgps,10.1016/j.ssi.2017.01.014,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
7iw,Ba0.5Li9Ge1P2S12,,Ba0.5 Li9 Ge1 P2 S12,9.98e-05,,,,,,,,,,,lgps,10.1016/j.ssi.2017.01.014,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
b7v,Li5La3(BiO6)2,,Li5 La3 Bi2 O12,2.2e-05,,,,,,,,,,,garnet,10.1016/j.ssi.2017.03.030,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
lol,Li4PS4I,,Li4 P1 S4 I1,0.00012,,,,,,,,,,,thio_lisicon,10.1021/acs.chemmater.7b00013,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
8ub,Li10.5Si1.2Sn0.3P1.5S12,,Li10.5 Si1.2 Sn0.3 P1.5 S12,0.00879,,,,,,,,,,,lgps,10.1021/acs.chemmater.7b00886,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
7tu,Li10.2Si0.96Sn0.24P1.8S12,,Li10.2 Si0.96 Sn0.24 P1.8 S12,0.00782,,,,,,,,,,,lgps,10.1021/acs.chemmater.7b00886,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
ui6,Li10.35Si1.08Sn0.27P1.65S12,,Li10.35 Si1.08 Sn0.27 P1.65 S12,0.011,,,,,,,,,,,lgps,10.1021/acs.chemmater.7b00886,1,data/database/obelix/processed/all-v1.csv,,,,duplicated with line 204; deleted; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
419,Li5.3La3Sm0.15Ta1.85O12,,Li5.3 La3 Sm0.15 Ta1.85 O12,7.11e-06,,,,,,,,,,,garnet,10.1021/acs.inorgchem.7b00816,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
c0g,Li5.5La3Sm0.25Ta1.75O12,,Li5.5 La3 Sm0.25 Ta1.75 O12,5.17e-06,,,,,,,,,,,garnet,10.1021/acs.inorgchem.7b00816,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
kbu,Li5.7La3Sm0.35Ta1.65O12,,Li5.7 La3 Sm0.35 Ta1.65 O12,2.15e-05,,,,,,,,,,,garnet,10.1021/acs.inorgchem.7b00816,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
fam,Li5.9La3Sm0.45Ta1.55O12,,Li5.9 La3 Sm0.45 Ta1.55 O12,1.18e-05,,,,,,,,,,,garnet,10.1021/acs.inorgchem.7b00816,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
dae,Li6.1La3Sm0.55Ta1.45O12,,Li6.1 La3 Sm0.55 Ta1.45 O12,1.4e-05,,,,,,,,,,,garnet,10.1021/acs.inorgchem.7b00816,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
s3r,Li4Al0.33Si0.33P0.33O4,,Li4 Al0.33 Si0.33 P0.33 O4,3.25e-06,,,,,,,,,,,lisicon,10.1021/acsami.6b14402,1,data/database/obelix/processed/all-v1.csv,,,,appendix: diffraction data available; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
9yt,Li6P1S5Br0.75Cl0.25,,Li6 P1 S5 Br0.75 Cl0.25,0.00186,,,,,,,,,,,argyrodites,10.1021/jacs.7b06327,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
ij5,Li6P1S5Br0.5Cl0.5,,Li6 P1 S5 Br0.5 Cl0.5,0.00333,,,,,,,,,,,argyrodites,10.1021/jacs.7b06327,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
ymc,Li6P1S5I0.5Br0.5,,Li6 P1 S5 I0.5 Br0.5,2.62e-05,,,,,,,,,,,argyrodites,10.1021/jacs.7b06327,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
kgl,Li6P1S5Br0.25Cl0.75,,Li6 P1 S5 Br0.25 Cl0.75,0.00226,,,,,,,,,,,argyrodites,10.1021/jacs.7b06327,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
vqj,Li6P1S5I0.25Br0.75,,Li6 P1 S5 I0.25 Br0.75,0.000112,,,,,,,,,,,argyrodites,10.1021/jacs.7b06327,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
h82,Li6P1S5I0.75Br0.25,,Li6 P1 S5 I0.75 Br0.25,4.72e-06,,,,,,,,,,,argyrodites,10.1021/jacs.7b06327,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2017,,,,,
i9a,Li2.5Zn0.25P1S4,,Li2.5 Zn0.25 P1 S4,0.00084,,,,,,,,,,,sulfides,10.1021/acs.chemmater.7b05108,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
dco,Li2Zn0.5P1S4,,Li2 Zn0.5 P1 S4,0.00013,,,,,,,,,,,sulfides,10.1021/acs.chemmater.7b05108,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
tqb,Li1.5Zn0.75P1S4,,Li1.5 Zn0.75 P1 S4,1.65e-05,,,,,,,,,,,sulfides,10.1021/acs.chemmater.7b05108,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
9rc,Li10Sn0.224Ge0.776P2S12,,Li10 Sn0.224 Ge0.776 P2 S12,0.0141,,,,,,,,,,,lgps,10.1021/acs.chemmater.8b00266,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
ik8,Li10Sn0.584Ge0.416P2S12,,Li10 Sn0.584 Ge0.416 P2 S12,0.00743,,,,,,,,,,,lgps,10.1021/acs.chemmater.8b00266,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
e6e,Li3.2Ge0.2P0.8O4,,Li3.2 Ge0.2 P0.8 O4,1.14e-06,,,,,,,,,,,lisicon,10.1021/acs.chemmater.8b01504,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
ylh,Li3.2V0.8Ge0.2O4,,Li3.2 V0.8 Ge0.2 O4,1.9e-05,,,,,,,,,,,lisicon,10.1021/acs.chemmater.8b01504,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
eij,Li3.4Ge0.4P0.6O4,,Li3.4 Ge0.4 P0.6 O4,4.5e-06,,,,,,,,,,,lisicon,10.1021/acs.chemmater.8b01504,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
efb,Li3.6Ge0.6P0.4O4,,Li3.6 Ge0.6 P0.4 O4,1.1e-05,,,,,,,,,,,lisicon,10.1021/acs.chemmater.8b01504,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
lcm,Li3.6V0.4Ge0.6O4,,Li3.6 V0.4 Ge0.6 O4,3.19e-05,,,,,,,,,,,lisicon,10.1021/acs.chemmater.8b01504,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
mgs,Li3.8Ge0.8P0.2O4,,Li3.8 Ge0.8 P0.2 O4,1.03e-06,,,,,,,,,,,lisicon,10.1021/acs.chemmater.8b01504,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
31s,Li3.8V0.2Ge0.8O4,,Li3.8 V0.2 Ge0.8 O4,2.71e-06,,,,,,,,,,,lisicon,10.1021/acs.chemmater.8b01504,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
pql,Li8SiP4,,Li8 Si1 P4,4.5e-05,,,,,,,,,,,phosphates,10.1021/acs.chemmater.8b02759,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
deu,Li4.4Al0.4Ge0.6S4,,Li4.4 Al0.4 Ge0.6 S4,4.3e-05,,,,,,,,,,,sulfides,10.1021/acs.chemmater.8b03175,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
usu,Li4.4Al0.4Sn0.6S4,,Li4.4 Al0.4 Sn0.6 S4,4.3e-06,,,,,,,,,,,sulfides,10.1021/acs.chemmater.8b03175,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
z16,Li6P1Se0.1S4.9Br1,,Li6 P1 Se0.1 S4.9 Br1,0.0032,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
hbz,Li6P1Se0.2S4.8Br1,,Li6 P1 Se0.2 S4.8 Br1,0.00392,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
uut,Li6P1Se0.3S4.7Br1,,Li6 P1 Se0.3 S4.7 Br1,0.00362,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
cju,Li6P1Se0.4S4.6Br1,,Li6 P1 Se0.4 S4.6 Br1,0.00364,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
d9l,Li6P1Se0.5S4.5Br1,,Li6 P1 Se0.5 S4.5 Br1,0.00268,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
96f,Li6P1Se0.6S4.4Br1,,Li6 P1 Se0.6 S4.4 Br1,0.00278,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
1kq,Li6P1Se0.7S4.3Br1,,Li6 P1 Se0.7 S4.3 Br1,0.00301,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
c6e,Li6P1Se0.8S4.2Br1,,Li6 P1 Se0.8 S4.2 Br1,0.00348,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
t2c,Li6P1Se0.9S4.1Br1,,Li6 P1 Se0.9 S4.1 Br1,0.00382,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
dlj,Li6PSeS4Br,,Li6 P1 Se1 S4 Br1,0.00361,,,,,,,,,,,argyrodites,10.1021/acs.inorgchem.8b02443,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
gw2,Li1.4Al0.4Ge1.6P3O12,,Li1.4 Al0.4 Ge1.6 P3 O12,0.000188,,,,,,,,,,,nasicon,10.1021/acsami.8b00842,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
tjh,Li1.7Al0.7Ge1.3P3O12,,Li1.7 Al0.7 Ge1.3 P3 O12,0.000264,,,,,,,,,,,nasicon,10.1021/acsami.8b00842,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
8fn,Li1.8Al0.8Ge1.2P3O12,,Li1.8 Al0.8 Ge1.2 P3 O12,0.000137,,,,,,,,,,,nasicon,10.1021/acsami.8b00842,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,
3uq,Li1.3Al0.3Ge1.7P3O12,,Li1.3 Al0.3 Ge1.7 P3 O12,8.24e-05,,,,,,,,,,,nasicon,10.1021/acsami.8b00842,1,data/database/obelix/processed/all-v1.csv,,,,"check ID 242-247; refer D2 - 140, D2- 146, D1-421; synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018",,,,,
