ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),r⁺(incl Li⁺) (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),chi_range_x_r_avg,Ionic conductivity (S cm-1),conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity,n_Li × r⁻ (pm)
sib,La2.52Li0.44Mg2.0W2.0O12.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",0.0232067510548523,3.44,1.3484662576687116,83.71104294478529,138.2,82.68620689655172,0.3438818565400843,619835831445.7682,0.0543553505071848,289.8409367088607,6.8e-06,6.8e-06,exact,6.8e-06,1.0,-5.167491087293763,3.2071729957805877
r99,La2.48Li0.56Mg2.0W2.0O12.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",0.0294117647058823,3.44,1.35,83.49341563786008,138.2,82.22121212121213,0.3403361344537815,623241344661.0015,0.0545352159568563,289.0548235294118,1.2e-05,1.2e-05,exact,1.2e-05,1.0,-4.920818753952375,4.064705882352934
52b,Li20.1Ge2.1P3.9S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4011976047904191,2.58,2.127,27.15,184.0,58.22413793103448,0.1197604790419161,25849499455808.86,0.2216112531969309,189.5616766467066,0.0122,0.0122,exact,0.0122,1.0,-1.9136401693252518,73.82035928143712
8po,Li20.4Ge2.4P3.6S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4047619047619047,2.58,2.118,28.6,184.0,58.65909090909092,0.119047619047619,23981973844499.99,0.2112531969309462,189.35238095238097,0.0132,0.0132,exact,0.0132,1.0,-1.8794260687941502,74.47619047619047
j8q,Li20.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.13,26.666666666666668,184.0,58.07692307692308,0.12,26472007992911.816,0.2250639386189258,189.632,0.0121,0.0121,exact,0.0121,1.0,-1.91721462968355,73.60000000000001
izs,Li20.85Si2.85P3.15S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4100294985250737,2.58,2.05225,24.6,184.0,57.91340782122904,0.1179941002949852,22456164938552.414,0.2119875222816399,187.87728613569325,0.00527,0.00527,exact,0.00527,1.0,-2.2781893847874533,75.44542772861357
8nc,Li20.55Si2.55P3.45S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4065281899109793,2.58,2.0667500000000003,23.8,184.0,57.62429378531074,0.1186943620178041,24189429548701.74,0.220632798573975,188.19940652818997,0.00565,0.00565,exact,0.00565,1.0,-2.2479515521805613,74.80118694362018
xga,Li20.01Sn1.98P4.02S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.400119976004799,2.58,2.1141,34.16,184.0,59.80911188004613,0.1199760047990401,26231533811068.125,0.2161892583120205,191.0541091781644,0.00373,0.00373,exact,0.00373,1.0,-2.4282911681913126,73.622075584883
sg4,Li19.71Sn1.68P4.32S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3964996982498491,2.58,2.1256,31.56,184.0,59.11260210035006,0.1207000603500301,28154358799538.254,0.2279965899403239,191.0532287266144,0.00436,0.00436,exact,0.00436,1.0,-2.360513510731414,72.95594447797224
ns3,Li19.62Sn1.62P4.38S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3954050785973397,2.58,2.1279,31.040000000000003,184.0,58.961358313817335,0.120918984280532,28538923797232.28,0.2303580562659846,191.1032648125756,0.00496,0.00496,exact,0.00496,1.0,-2.3045183235098023,72.75453446191051
9lx,Li20.0Sn2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.1133333333333333,34.333333333333336,184.0,59.84615384615385,0.12,26103345478503.453,0.2154021028701336,191.104,0.007,0.007,exact,0.007,1.0,-2.154901959985743,73.60000000000001
mtn,Li20.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.13,26.666666666666668,184.0,58.07692307692308,0.12,26472007992911.816,0.2250639386189258,189.632,0.0246,0.0246,exact,0.0246,1.0,-1.609064892896621,73.60000000000001
9rc,Li20.0Ge1.55Sn0.45P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.12625,28.391666666666666,184.0,58.475,0.12,26389058927169.934,0.2228900255754475,189.96320000000003,0.0141,0.0141,exact,0.0141,1.0,-1.85078088734462,73.60000000000001
13q,Li20.0Sn2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.1133333333333333,34.333333333333336,184.0,59.84615384615385,0.12,26103345478503.453,0.2154021028701336,191.104,0.00398,0.00398,exact,0.00398,1.0,-2.4001169279263124,73.60000000000001
ik8,Li20.0Ge0.83Sn1.17P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.12025,31.151666666666667,184.0,59.11192307692308,0.12,26256340421982.92,0.2194117647058823,190.49312,0.00743,0.00743,exact,0.00743,1.0,-2.1290111862394245,73.60000000000001
nip,Li19.62Sn1.62P4.38S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3954050785973397,2.58,2.1279,31.040000000000003,184.0,58.961358313817335,0.120918984280532,28538923797232.28,0.2303580562659846,191.1032648125756,0.0055,0.0055,exact,0.0055,1.0,-2.2596373105057563,72.75453446191051
1hh,Li20.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.13,26.666666666666668,184.0,58.07692307692308,0.12,26472007992911.816,0.2250639386189258,189.632,0.012,0.012,exact,0.012,1.0,-1.9208187539523751,73.60000000000001
8ub,Li21.0Sn0.6Si2.4P3.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4117647058823529,2.58,2.051,28.6,184.0,58.85555555555556,0.1176470588235294,21210411876836.152,0.2013407734635356,188.39529411764707,0.00879,0.00879,exact,0.00879,1.0,-2.0560111249262283,75.76470588235294
7tu,Li20.4Sn0.48Si1.92P3.6S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4047619047619047,2.58,2.0788,26.28,184.0,58.131818181818176,0.119047619047619,24752765248463.11,0.2198961481825931,188.9104761904762,0.00782,0.00782,exact,0.00782,1.0,-2.106793246940152,74.47619047619047
ui6,Li20.7Sn0.54Si2.16P3.3S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.408284023668639,2.58,2.0649,27.44,184.0,58.49775280898877,0.1183431952662721,22981588562649.63,0.2106184608230644,188.65136094674557,0.011,0.011,exact,0.011,1.0,-1.958607314841775,75.12426035502958
fnu,Li19.2Ba0.4Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ba"", ""value"": 2.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3870967741935484,2.58,2.0525,34.21428571428571,184.0,59.17857142857143,0.1290322580645161,24818999390708.57,0.2118453106722972,202.08350230414752,0.000572,0.000572,exact,0.000572,1.0,-3.2426039712069756,71.2258064516129
pfi,Li18.8Ba0.6Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ba"", ""value"": 2.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3805668016194332,2.58,2.017272727272728,37.64502164502165,184.0,59.74240719910011,0.1336032388663967,24067631844252.56,0.2058368434238296,202.98669172932327,0.000707,0.000707,exact,0.000707,1.0,-3.1505805862031004,70.02429149797571
f0h,Li18.4Ba0.8Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ba"", ""value"": 2.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3739837398373983,2.58,1.9841176470588235,40.87394957983193,184.0,60.31519274376417,0.1382113821138211,23360462388764.543,0.200181815425272,203.89722415795583,0.000316,0.000316,exact,0.000316,1.0,-3.500312917381596,68.81300813008129
7iw,Li18.0Ba1.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ba"", ""value"": 2.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3673469387755102,2.58,1.9528571428571424,43.91836734693878,184.0,60.89714285714285,0.1428571428571428,22693702616447.27,0.1948499318837747,204.8151895043732,9.98e-05,9.98e-05,exact,9.98e-05,1.0,-4.000869458712629,67.59183673469389
ikh,Li19.2P6.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3902439024390243,2.58,2.19,17.0,184.0,55.47619047619048,0.1219512195121951,38922178734970.95,0.2941176470588235,189.0731707317073,0.0012,0.0012,exact,0.0012,1.0,-2.9208187539523753,71.80487804878047
hd3,Li14.0Ge2.0P2.0S16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4117647058823529,2.58,2.1,31.5,184.0,59.5,0.1176470588235294,20246922621882.25,0.1905370843989769,188.94117647058823,0.007,0.007,exact,0.007,1.0,-2.154901959985743,75.76470588235294
ete,Li19.08Si3.48P2.88S23.4Cl0.6,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3859223300970874,2.5945,2.0313207547169814,25.75471698113208,183.925,57.06367924528302,0.1286407766990291,19954377340884.062,0.1995089631049675,258.6501213592233,0.025,0.025,exact,0.025,1.0,-1.6020599913279623,70.9807645631068
k4x,Li20.7Si2.7P3.3S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.408284023668639,2.58,2.0595,24.2,184.0,57.76966292134831,0.1183431952662721,23322797243627.08,0.2163101604278074,188.0378698224852,0.0065,0.0065,exact,0.0065,1.0,-2.1870866433571443,75.12426035502958
wyu,Li56.0La24.0Zr16.0O96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",0.2916666666666667,3.44,1.1920000000000002,102.58,138.2,82.11666666666666,0.2083333333333333,169832268285.58978,0.0356431091090659,270.9895,1.63e-06,1.63e-06,exact,1.63e-06,1.0,-5.787812395596042,40.30833333333333
019,Li6.0Ti12.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0555555555555555,3.44,1.93,34.4,138.2,39.91666666666666,0.2777777777777778,23629637065447.984,0.2029168692270296,259.37966666666665,0.000161,0.000161,exact,0.000161,1.0,-3.7931741239681505,7.677777777777769
ob9,Li2.67Mg0.67P2.0S6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""P"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.2354497354497354,2.58,1.9691760299625467,30.801498127340828,184.0,49.15074906367042,0.2354497354497354,23375576535810.688,0.1832207289907224,192.7992945326279,4e-06,4e-06,exact,4e-06,1.0,-5.3979400086720375,43.322751322751316
ei3,Li9.0Y3.0Cl18.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",0.3,3.16,1.22,95.95,181.0,74.6125,0.1,129885365241.86926,0.0312662845231891,301.8101000000001,0.000539,0.000539,exact,0.000539,1.0,-3.2684112348132612,54.3
deu,Li8.8Al0.8Ge1.2S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.4680851063829787,2.58,1.85,46.1,184.0,63.53703703703704,0.1063829787234042,1406895167702.2346,0.0781198589894242,183.67659574468084,4.3e-05,4.3e-05,exact,4.3e-05,1.0,-4.366531544420414,86.12765957446808
usu,Li8.8Al0.8Sn1.2S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.4680851063829787,2.58,1.82,59.9,184.0,66.09259259259258,0.1063829787234042,743302641767.1765,0.0607285546415981,186.02553191489363,4.3e-06,4.3e-06,exact,4.3e-06,1.0,-5.366531544420414,86.12765957446808
0o6,Li7.2Ti10.8Sc1.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9228,35.21000000000001,138.2,41.45967741935484,0.2747252747252747,23610720290398.57,0.2017583092393112,258.90148351648355,9.98e-05,9.98e-05,exact,9.98e-05,1.0,-4.000869458712629,9.112087912087906
qea,Li6.0Ti12.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0555555555555555,3.44,1.93,34.4,138.2,39.91666666666666,0.2777777777777778,23629637065447.984,0.2029168692270296,259.37966666666665,2e-06,2e-06,exact,2e-06,1.0,-5.698970004336019,7.677777777777769
0fh,Li7.2Al1.2Ge10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,2.102,28.61,138.2,36.13709677419354,0.2747252747252747,23965496710390.86,0.2103695306559756,254.44104395604396,4.83e-05,4.83e-05,exact,4.83e-05,1.0,-4.316052869248487,9.112087912087906
gw2,Li8.4Al2.4Ge9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,2.086,28.62,138.2,37.125,0.2717391304347826,23949019576281.727,0.209485864381005,253.48695652173916,0.000188,0.000188,exact,0.000188,1.0,-3.72584215073632,10.515217391304342
1xf,Li9.0Al3.0Ge9.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.081081081081081,3.44,2.078,28.625,138.2,37.59615384615385,0.2702702702702703,23940781009227.16,0.2090440312435197,253.01764864864865,0.000336,0.000336,exact,0.000336,1.0,-3.473660722610156,11.205405405405394
tjh,Li10.2Al4.2Ge7.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.0909090909090909,3.44,2.062,28.635,138.2,38.49626865671642,0.267379679144385,23924303875118.023,0.2081603649685491,252.09409090909088,0.000264,0.000264,exact,0.000264,1.0,-3.5783960731301687,12.56363636363636
mdj,Li7.2Ti12.0Si1.2P16.8O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9184000000000003,35.04,138.2,41.32258064516128,0.2747252747252747,22243025377328.527,0.1960006481931615,258.78659340659334,8.6e-05,8.6e-05,exact,8.6e-05,1.0,-4.0655015487564325,9.112087912087906
t1l,Li7.8Ti12.0Si1.8P16.2O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9126,35.36,138.2,41.9920634920635,0.273224043715847,21549719533268.8,0.1925425376762275,258.4949180327869,0.00032,0.00032,exact,0.00032,1.0,-3.494850021680094,9.817486338797812
my9,Li7.2Al1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9328,33.830000000000005,138.2,40.346774193548384,0.2747252747252747,23648393609244.05,0.2028668357224506,257.96884615384613,0.000595,0.000595,exact,0.000595,1.0,-3.2254830342714502,9.112087912087906
9s4,Li7.8Al1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9342,33.544999999999995,138.2,40.5515873015873,0.273224043715847,23657771881142.08,0.2028418189701612,257.27500000000003,0.000722,0.000722,exact,0.000722,1.0,-3.141462802430361,9.817486338797812
xa0,Li9.0Al3.0Ti9.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.081081081081081,3.44,1.937,32.975,138.2,40.94230769230769,0.2702702702702703,23676528424938.152,0.2027917854655822,255.9098108108108,0.000248,0.000248,exact,0.000248,1.0,-3.6055483191737836,11.205405405405394
txm,Li7.8Cr1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9372,34.46,138.2,41.27777777777778,0.273224043715847,23617782776854.797,0.201876756346562,257.89,3.51e-05,3.51e-05,exact,3.51e-05,1.0,-4.454692883534176,9.817486338797812
v1t,Li8.4Cr2.4Ti9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,1.9396,34.480000000000004,138.2,41.70312500000001,0.2717391304347826,23613831347323.727,0.2015300520530727,257.40423913043475,0.000149,0.000149,exact,0.000149,1.0,-3.826813731587726,10.515217391304342
d6b,Li9.0Cr3.0Ti9.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.081081081081081,3.44,1.942,34.5,138.2,42.11538461538461,0.2702702702702703,23609879917792.664,0.2011833477595835,256.9237297297297,0.000386,0.000386,exact,0.000386,1.0,-3.413412695328245,11.205405405405394
3ta,Li7.8Ga1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9462,34.04,138.2,40.94444444444444,0.273224043715847,23630713823444.004,0.2022526793718473,257.6077049180328,0.000261,0.000261,exact,0.000261,1.0,-3.583359492661719,9.817486338797812
gjy,Li8.4Ga2.4Ti9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,1.9516,33.919999999999995,138.2,41.265625,0.2717391304347826,23631072742776.01,0.2020312827534532,257.0298913043478,0.000128,0.000128,exact,0.000128,1.0,-3.8927900303521317,10.515217391304342
6st,Li7.2Fe1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9416,34.25,138.2,40.68548387096774,0.2747252747252747,23627114709650.484,0.20238677857279,258.2526923076923,0.00018,0.00018,exact,0.00018,1.0,-3.744727494896694,9.112087912087906
t9r,Li7.8Fe1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9474,34.175,138.2,41.0515873015873,0.273224043715847,23625853531751.73,0.2021217332456702,257.69844262295084,0.000246,0.000246,exact,0.000246,1.0,-3.6090648928966207,9.817486338797812
xr7,Li8.4Fe2.4Ti9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,1.9532,34.1,138.2,41.40625,0.2717391304347826,23624592353852.984,0.2018566879185503,257.15021739130435,0.000392,0.000392,exact,0.000392,1.0,-3.406713932979543,10.515217391304342
pg8,Li9.0Fe3.0Ti9.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.081081081081081,3.44,1.959,34.025,138.2,41.75,0.2702702702702703,23623331175954.234,0.2015916425914305,256.60791891891887,0.000174,0.000174,exact,0.000174,1.0,-3.7594507517174005,11.205405405405394
1wm,Li7.2Sc1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9228,35.21000000000001,138.2,41.45967741935484,0.2747252747252747,23610720290398.57,0.2017583092393112,258.90148351648355,0.00069,0.00069,exact,0.00069,1.0,-3.161150909262745,9.112087912087906
do2,Li7.8Sc1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9192,35.614999999999995,138.2,42.19444444444444,0.273224043715847,23601261902873.867,0.2011790292454519,258.6663114754098,0.000703,0.000703,exact,0.000703,1.0,-3.153044674980176,9.817486338797812
5u3,Li7.2In1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9396,35.18,138.2,41.435483870967744,0.2747252747252747,23610967739132.297,0.2017722411278561,258.88120879120873,0.00039,0.00039,exact,0.00039,1.0,-3.408935392973501,9.112087912087906
2eq,Li7.8In1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9444,35.57,138.2,42.15873015873016,0.273224043715847,23601633075974.453,0.2011999270782693,258.6360655737705,0.000393,0.000393,exact,0.000393,1.0,-3.4056074496245734,9.817486338797812
