ID,True Composition,Z_by_element,χ_all,χ-,χ+(incl Li+),χ+(excl Li+),χ+(incl Li+) - χ-,χ+(excl Li+) - χ-,χ_max - χ_min,r_all (pm),r- (pm),r+(incl Li+) (pm),r+(excl Li+) (pm),r+(excl Li+) - r-,r+(incl Li+) - r-,r+(excl Li+) / r-,r+(incl Li+) / r-,ρ_all (C m⁻³),ρ- (C m⁻³),ρ+(incl Li+) (C m⁻³),ρ+(excl Li+) (C m⁻³),ρ+(incl Li+) / ρ-,ρ+(incl Li+) - ρ-,Φ+(incl Li+) (|Z| pm⁻¹),Φ+(excl Li+) (|Z| pm⁻¹),n_halide,n_host_cation,n_anion,n_Li,Ionic conductivity (S cm-1)
m0j,Li12.0P3.2V0.8O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""V"", ""value"": 5.0}]",2.34725,3.231666666666667,1.020625,1.63,-2.211041666666667,-1.601666666666667,2.46,97.13125,118.0,65.828125,40.75,-77.25,-52.171875,0.3453389830508475,0.557865466101695,4023988501745.736,6511178754210.733,293203123048.23883,2825927837390.266,0.04503072855412339,-6217975631162.494,0.021557600545330607,0.12269938650306748,0.0,0.025,0.6,0.375,2.05e-13
9lo,Li12.0P4.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.36125,3.19,0.98,,-2.21,,2.46,96.5375,113.96,67.5,,,-46.459999999999994,,0.5923130923130924,4926394774185.253,7807618753441.143,124354808758.77034,,0.015927366932966855,-7683263944682.372,0.014814814814814815,,0.0,0.0,0.625,0.375,1.75e-13
dth,Li16.0Ge4.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",2.1877777777777774,3.44,1.186,2.01,-2.254,-1.4300000000000002,2.46,96.53333333333333,138.2,63.2,46.0,-92.19999999999999,-74.99999999999999,0.3328509406657019,0.4573082489146166,242777864007.0448,28978758058.690765,413817148765.728,1571666508793.5586,14.280016691109498,384838390707.03723,0.02924315619967794,0.08695652173913043,0.0,0.1111111111111111,0.4444444444444444,0.4444444444444444,1.3e-12
45e,Li8.0Mg4.0Br16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""Br"", ""value"": -1.0}]",2.1585714285714284,2.96,1.09,1.31,-1.8699999999999999,-1.65,1.98,141.57142857142858,196.0,69.0,72.0,-124.0,-127.0,0.3673469387755102,0.3520408163265306,67708187541.06086,5079321332.016004,151213342486.454,204930409941.8213,29.770383207166933,146134021154.43802,0.019135802469135803,0.027777777777777776,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,7.8e-10
85t,La4.56Li2.32Ti8.0O24.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6278189300411525,3.44,1.3178494623655914,1.3802547770700637,-2.1221505376344085,-2.0597452229299362,2.46,115.73786008230454,138.2,79.50860215053764,81.72675159235668,-56.47324840764331,-58.69139784946235,0.5913657857623493,0.5753155003656849,175445486318.74304,28978758058.690765,411682144802.6983,464755347001.89514,14.206341899432585,382703386744.00757,0.04558374889358512,0.05126718257692486,0.0,0.32304526748971196,0.617283950617284,0.05967078189300412,0.0016
x2i,Li8.0Bi8.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 3.0}]",2.44,3.44,1.44,1.9,-2.0,-1.54,2.46,111.725,138.2,85.25,103.0,-35.19999999999999,-52.94999999999999,0.7452966714905934,0.6168596237337193,71827729684.51639,28978758058.690765,114676701310.34203,104998593861.9137,3.9572676330050776,85697943251.65126,0.021970514203523913,0.02912621359223301,0.0,0.25,0.5,0.25,3.8e-08
i9a,Li5.0Zn0.5P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",1.9835483870967743,2.502,1.040909090909091,1.65,-1.4610909090909088,-0.8519999999999999,1.6,121.10752688172043,150.6,67.48484848484848,67.33333333333333,-83.26666666666667,-83.11515151515151,0.44710048694112436,0.44810656364441226,5076751044754.039,7794258662674.148,135828103081.11461,250561046304.55716,0.01742668661120788,-7658430559593.034,0.01616828349501617,0.029702970297029705,0.0,0.03225806451612903,0.6451612903225806,0.3225806451612903,0.00084
i47,Li2.0Zn2.0P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",2.162857142857143,2.502,1.315,1.65,-1.1869999999999998,-0.8519999999999999,1.6,126.83333333333333,150.6,67.41666666666666,67.33333333333333,-83.26666666666667,-83.18333333333334,0.44710048694112436,0.44765382912793267,5620887024062.01,7794258662674.148,187457927531.66376,250561046304.55716,0.0240507706562754,-7606800735142.484,0.022258892555922262,0.029702970297029705,0.0,0.14285714285714285,0.7142857142857143,0.14285714285714285,5.4e-08
dco,Li4.0Zn1.0P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",2.0393333333333334,2.502,1.114,1.65,-1.3879999999999997,-0.8519999999999999,1.6,122.88888888888889,150.6,67.46666666666667,67.33333333333333,-83.26666666666667,-83.13333333333333,0.44710048694112436,0.4479858344400177,5246037793872.075,7794258662674.148,149596056267.9277,250561046304.55716,0.019193109023225883,-7644662606406.221,0.017792445911257792,0.029702970297029705,0.0,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.00013
tqb,Li3.0Zn1.5P2.0S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Zn"", ""value"": 2.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",2.0989655172413793,2.502,1.2033333333333331,1.6499999999999997,-1.2986666666666666,-0.8520000000000001,1.6,124.79310344827586,150.6,67.44444444444444,67.33333333333333,-83.26666666666667,-83.15555555555555,0.44710048694112436,0.4478382765235355,5426999491205.146,7794258662674.148,166423554607.36594,250561046304.55716,0.021352069749025666,-7627835108066.782,0.019777533308886444,0.029702970297029705,0.0,0.10344827586206896,0.6896551724137931,0.20689655172413793,1.65e-05
xz4,Li2.0Ce2.0Mo4.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ce"", ""value"": 3.0}, {""element"": ""Mo"", ""value"": 6.0}]",2.828333333333333,3.44,1.605,1.8133333333333335,-1.835,-1.6266666666666665,2.46,115.82638888888887,138.2,71.07916666666667,72.27222222222223,-65.92777777777776,-67.12083333333332,0.5229538511014633,0.5143210323203088,341639438981.89453,28978758058.690765,966960800828.3021,1247829464851.4792,33.36791724717511,937982042769.6113,0.07012402043932933,0.0885604223141675,0.0,0.25,0.6666666666666666,0.08333333333333333,1.3e-08
hja,Li2.0Ce1.0Pr1.0Mo4.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ce"", ""value"": 3.0}, {""element"": ""Pr"", ""value"": 3.0}, {""element"": ""Mo"", ""value"": 6.0}]",2.82875,3.44,1.6062500000000002,1.8150000000000002,-1.8337499999999998,-1.6249999999999998,2.46,115.53541666666666,138.2,70.20625,71.10833333333333,-67.09166666666665,-67.99374999999999,0.5145320791123975,0.5080047033285094,342248610912.4055,28978758058.690765,968788316619.8351,1250266152573.5232,33.43098122623976,939809558561.1443,0.07032812610793533,0.08883256320564216,0.0,0.25,0.6666666666666666,0.08333333333333333,1e-09
3nb,Li2.0Ce1.0Sm1.0Mo4.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sm"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ce"", ""value"": 3.0}, {""element"": ""Mo"", ""value"": 6.0}]",2.830416666666667,3.44,1.61125,1.8216666666666665,-1.8287499999999999,-1.6183333333333334,2.46,115.48319444444444,138.2,70.04958333333333,70.89944444444444,-67.30055555555555,-68.15041666666666,0.5130205820871523,0.5068710805595755,342375003855.0877,28978758058.690765,969167495447.8817,1250771724344.2522,33.44406594254398,940188737389.1909,0.07036753678140784,0.08888511077027218,0.0,0.25,0.6666666666666666,0.08333333333333333,1.8e-10
qa9,Li6.0B2.0N4.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""B"", ""value"": 3.0}, {""element"": ""N"", ""value"": -3.0}]",1.8433333333333335,3.04,1.245,2.04,-1.795,-1.0,2.06,83.41666666666667,146.0,52.125,6.0,-140.0,-93.875,0.0410958904109589,0.3570205479452055,88604403465032.03,36866897357.61785,132888171748869.23,531179622569200.6,3604.539065487983,132851304851511.61,0.1361111111111111,0.5,0.0,0.16666666666666666,0.3333333333333333,0.5,1.6e-10
ihb,Li0.66La1.12Ti1.98Al0.02O5.98F0.02,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6187116564417177,3.4418,1.312222222222222,1.3824999999999998,-2.1295777777777785,-2.0593000000000004,3.0,115.29204158145875,138.17475,78.97028218694885,81.39668803418803,-56.77806196581196,-59.20446781305114,0.589085111673356,0.5715246974353047,176181752252.4432,28939359262.613476,409899836363.2841,470303592202.70056,14.16409508737225,380960477100.67065,0.04503369612799581,0.051426151790399485,0.0020449897750511245,0.31901840490797545,0.6114519427402862,0.06748466257668712,0.00098
3k7,Li0.66La1.12Ti1.96Al0.04O5.96F0.04,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.619959100204499,3.4435999999999996,1.3125925925925928,1.382948717948718,-2.131007407407407,-2.0606512820512815,3.0,115.24740967961826,138.1495,78.89488536155204,81.30534188034189,-56.844158119658104,-59.25461463844795,0.588531568194904,0.5710833941603266,177116504718.8615,28899960466.536175,412380860674.9334,473309448580.27563,14.269253452870194,383480900208.3972,0.045027077939559436,0.051418133600563104,0.00408997955010225,0.3190184049079755,0.6094069529652352,0.06748466257668713,0.00106
1sz,Li0.66La1.12Ti1.94Al0.06O5.94F0.06,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6212065439672805,3.4454000000000007,1.3129629629629629,1.3833974358974357,-2.132437037037038,-2.062002564102565,3.0,115.20277777777777,138.12425,78.81948853615519,81.21399572649572,-56.910254273504265,-59.3047614638448,0.587977822333846,0.5706419295392026,178051257185.27972,28860561670.45888,414861884986.5827,476315304957.85065,14.374698930798266,386001323316.12384,0.04502045975112307,0.05141011541072673,0.0061349693251533735,0.31901840490797545,0.607361963190184,0.06748466257668712,0.000928
yh8,Li0.66La1.12Ti1.92Al0.08O5.92F0.08,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6224539877300614,3.4472,1.3133333333333332,1.383846153846154,-2.133866666666667,-2.063353846153846,3.0,115.1581458759373,138.099,78.74409171075837,81.12264957264956,-56.976350427350425,-59.35490828924162,0.5874238739791713,0.5702003034834313,178986009651.698,28821162874.381588,417342909298.23193,479321161335.4258,14.480432698612505,388521746423.85034,0.0450138415626867,0.05140209722089036,0.0081799591002045,0.3190184049079755,0.6053169734151329,0.06748466257668713,0.000622
coh,Li0.66La1.12Ti1.9Al0.1O5.9F0.1,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.623701431492843,3.449,1.3137037037037036,1.3842948717948715,-2.1352962962962962,-2.0647051282051283,3.0,115.1135139740968,138.07375,78.66869488536155,81.03130341880342,-57.04244658119657,-59.405055114638444,0.5868697230197878,0.5697585159044464,179920762118.11624,28781764078.30429,419823933609.8812,482327017713.00085,14.586455940216142,391042169531.5769,0.045007223374250324,0.05139407903105399,0.010224948875255624,0.3190184049079755,0.6032719836400818,0.06748466257668713,0.000176
1pw,Li0.66La1.12Ti1.88Al0.12O5.88F0.12,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.624948875255624,3.4507999999999996,1.314074074074074,1.3847435897435898,-2.1367259259259255,-2.06605641025641,3.0,115.06888207225632,138.04849999999996,78.59329805996472,80.93995726495726,-57.108542735042704,-59.45520194003524,0.5863153693445222,0.569316566713617,180855514584.5345,28742365282.22699,422304957921.5304,485332874090.57587,14.692769846003772,393562592639.3034,0.045000605185813954,0.05138606084121762,0.012269938650306749,0.3190184049079755,0.6012269938650308,0.06748466257668713,0.000106
bw3,Li0.66La1.12Ti1.86Al0.14O5.86F0.14,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6261963190184052,3.4526000000000003,1.3144444444444443,1.3851923076923078,-2.138155555555556,-2.0674076923076923,3.0,115.0242501704158,138.02325,78.5179012345679,80.8486111111111,-57.17463888888889,-59.50534876543209,0.5857608128421198,0.5688744558222467,181790267050.9527,28702966486.1497,424785982233.1797,488338730468.1509,14.799375612905916,396083015747.02997,0.044993986997377576,0.051378042651381246,0.014314928425357873,0.3190184049079755,0.5991820040899795,0.06748466257668712,0.000645
my5,Li0.66La1.12Ti1.84Al0.16O5.84F0.16,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""F"", ""value"": -1.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.627443762781186,3.4544,1.3148148148148149,1.3856410256410256,-2.1395851851851853,-2.0687589743589747,3.0,114.97961826857532,137.998,78.44250440917108,80.75726495726497,-57.240735042735025,-59.55549559082891,0.5852060534012448,0.5684321831415752,182725019517.37097,28663567690.072403,427267006544.829,491344586845.726,14.906274444433953,398603438854.7566,0.04498736880894122,0.05137002446154488,0.016359918200408996,0.31901840490797545,0.5971370143149284,0.06748466257668712,0.000494
0lo,Li0.54La1.14Ti2.0O6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6346280991735536,3.44,1.3215217391304348,1.3802547770700637,-2.118478260869565,-2.0597452229299362,2.46,115.93719008264462,138.2,79.63913043478261,81.72675159235668,-56.47324840764331,-58.560869565217374,0.5913657857623493,0.5762599886742592,175656604821.05695,28978758058.690765,414805268020.5671,464755347001.89514,14.31411474503016,385826509961.87634,0.04591819382922393,0.05126718257692486,0.0,0.3243801652892562,0.6198347107438017,0.05578512396694216,0.00034
hta,La1.13Li0.61Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.624312114989733,3.44,1.3157219251336898,1.3811501597444091,-2.12427807486631,-2.058849840255591,2.46,115.58596851471593,138.2,79.30677361853833,81.60777422790201,-56.592225772097976,-58.89322638146166,0.5905048786389437,0.5738550913063556,175398289976.91638,28978758058.690765,410295934765.5137,466022480089.51154,14.158506514825104,381317176706.8229,0.04539139541496712,0.05135040952553992,0.0,0.32135523613963035,0.6160164271047228,0.06262833675564682,0.000957
s3h,La1.0Li1.0Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.58,3.44,1.29,1.3933333333333333,-2.15,-2.046666666666667,2.46,113.66666666666666,138.2,76.86666666666666,79.98888888888888,-58.21111111111111,-61.33333333333333,0.5787908023798038,0.5561987457790641,174801917001.59512,28978758058.690765,393536655415.95166,483263937635.01215,13.580176714920656,364557897357.26086,0.043065841858475395,0.052482850873028924,0.0,0.3,0.6,0.1,0.000925
86o,La1.22Li0.36Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6529018789144048,3.44,1.3337430167597766,1.373291925465839,-2.1062569832402236,-2.0667080745341613,2.46,116.87258176757132,138.2,81.12830540037244,82.651966873706,-55.54803312629399,-57.07169459962755,0.5980605417779017,0.587035494937572,175722701914.1429,28978758058.690765,421662272621.6047,454901616407.51166,14.55073650042596,392683514562.91394,0.047019457664164835,0.05061997674048969,0.0,0.33611691022964507,0.6263048016701461,0.037578288100208766,0.000412
2lu,La1.1Li0.72Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.610549898167006,3.44,1.3077486910994764,1.3838709677419354,-2.1322513089005235,-2.0561290322580645,2.46,115.03699932111338,138.2,78.65532286212915,81.24623655913979,-56.9537634408602,-59.544677137870835,0.5878888318316917,0.5691412652831342,175154184584.6529,28978758058.690765,404749095358.4154,469872929665.42975,13.967095985917542,375770337299.7246,0.044669354463820504,0.0516033120597186,0.0,0.31568228105906315,0.6109979633401221,0.07331975560081466,0.000688
bd5,La1.08Li0.78Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6036916835699797,3.44,1.3037305699481865,1.385714285714286,-2.1362694300518132,-2.0542857142857143,2.46,114.73975659229208,138.2,78.27305699481865,81.00129870129871,-57.19870129870128,-59.92694300518134,0.5861164884319733,0.5663752315109888,175062122447.79498,28978758058.690765,402134709581.1176,472481567581.5822,13.876878669771596,373155951522.4269,0.0443060828983096,0.05177465078958426,0.0,0.31237322515212984,0.6085192697768763,0.07910750507099393,0.000651
ukw,La1.04Li0.9Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.590140845070423,3.44,1.2959390862944162,1.3894736842105264,-2.1440609137055837,-2.0505263157894733,2.46,114.15244802146209,138.2,77.53181049069373,80.5017543859649,-57.69824561403509,-60.66818950930626,0.5825018407088633,0.5610116533335292,174880221002.33328,28978758058.690765,397065189952.04266,477801815963.2088,13.701939508513972,368086431893.3519,0.04360166798447626,0.052124091620231294,0.0,0.3058350100603622,0.6036217303822938,0.09054325955734407,0.000501
5h8,La1.16Li0.54Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6314639175257737,3.44,1.3203243243243243,1.3784810126582276,-2.1196756756756754,-2.0615189873417723,2.46,115.94343642611683,138.2,79.8517117117117,81.96244725738396,-56.23755274261603,-58.34828828828829,0.5930712536713746,0.577798203413254,175434926647.35983,28978758058.690765,412931416250.607,462245140315.6677,14.24945180239594,383952658191.91626,0.04580629628236546,0.05110230893821272,0.0,0.3257731958762887,0.6185567010309279,0.055670103092783516,0.000599
vwy,La1.12Li0.66Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6174642126789363,3.44,1.3118518518518518,1.382051282051282,-2.1281481481481483,-2.057948717948718,2.46,115.33667348329922,138.2,79.04567901234569,81.48803418803419,-56.7119658119658,-59.1543209876543,0.5896384528801317,0.5719658394525737,175246999786.02496,28978758058.690765,407418812051.6349,467297735825.1255,14.059222663251763,378440053992.9441,0.04504031431643218,0.05143416998023586,0.0,0.31901840490797545,0.6134969325153373,0.06748466257668712,0.000668
2ha,La1.12Li0.66Ti2.0O6.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.6174642126789363,3.44,1.3118518518518518,1.382051282051282,-2.1281481481481483,-2.057948717948718,2.46,115.33667348329922,138.2,79.04567901234569,81.48803418803419,-56.7119658119658,-59.1543209876543,0.5896384528801317,0.5719658394525737,175246999786.02496,28978758058.690765,407418812051.6349,467297735825.1255,14.059222663251763,378440053992.9441,0.04504031431643218,0.05143416998023586,0.0,0.31901840490797545,0.6134969325153373,0.06748466257668712,0.000165
il5,Nd0.5Li0.5Ta2.0O6.0,"[{""element"": ""Nd"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ta"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.744444444444445,3.44,1.3533333333333335,1.428,-2.0866666666666664,-2.012,2.46,117.37777777777777,138.2,75.73333333333333,77.38,-60.81999999999999,-62.466666666666654,0.5599131693198264,0.5479980704293296,160256387574.08972,28978758058.690765,422811646604.88763,482503014174.11115,14.59039913817445,393832888546.1969,0.05528688082235474,0.06338129402386274,0.0,0.2777777777777778,0.6666666666666666,0.05555555555555555,1.31e-08
r1m,Sm0.5Li0.5Ta2.0O6.0,"[{""element"": ""Sm"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ta"", ""value"": 5.0}, {""element"": ""O"", ""value"": -2.0}]",2.746111111111111,3.44,1.3583333333333334,1.434,-2.0816666666666666,-2.0060000000000002,2.46,117.24888888888889,138.2,75.34666666666666,76.916,-61.28399999999999,-62.853333333333325,0.5565557163531114,0.5452001929570671,160562396312.11823,28978758058.690765,423729672818.97314,483604645631.0138,14.622078418985112,394750914760.28235,0.05538321415961892,0.06349689402857975,0.0,0.2777777777777778,0.6666666666666666,0.05555555555555555,4.32e-10
nua,Li2.0La2.0Ti2.0O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.4828571428571427,3.44,1.2066666666666668,1.32,-2.2333333333333334,-2.12,2.46,114.25238095238095,138.2,82.32222222222221,89.73333333333332,-48.46666666666667,-55.87777777777778,0.6493005306319344,0.5956745457469046,142748156105.00452,28978758058.690765,294440686833.42285,379483625870.7491,10.160569553639643,265461928774.7321,0.03538255498485424,0.045666425069873964,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,<1E-10
3rx,Li2.0Nd2.0Ti2.0O8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Nd"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}]",2.488571428571429,3.44,1.22,1.3399999999999999,-2.2199999999999998,-2.1,2.46,113.1,138.2,79.63333333333334,85.7,-52.499999999999986,-58.56666666666665,0.6201157742402316,0.5762180414857695,145030663597.90256,28978758058.690765,299766537650.18494,387472402095.8922,10.344354200517044,270787779591.49417,0.03599397164989973,0.04658355006744219,0.0,0.2857142857142857,0.5714285714285714,0.14285714285714285,<1E-10
7e5,La2.6Li0.2Mg2.0W2.0O12.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",2.6785106382978725,3.44,1.3347058823529412,1.3454545454545457,-2.105294117647059,-2.0945454545454543,2.46,118.46879432624112,138.2,83.64901960784312,84.13838383838383,-54.06161616161616,-54.55098039215687,0.6088160914499554,0.6052751057007462,235074313549.39832,28978758058.690765,598772352650.6469,613148641859.4917,20.662457357142475,569793594591.956,0.05284959118862366,0.054002160169648185,0.0,0.351063829787234,0.6382978723404255,0.010638297872340425,1.8e-07
sib,La2.52Li0.44Mg2.0W2.0O12.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",2.6636708860759493,3.44,1.3251724137931036,1.3484662576687116,-2.1148275862068964,-2.091533742331288,2.46,117.82151898734175,138.2,82.68620689655172,83.71104294478529,-54.4889570552147,-55.513793103448265,0.6057238997451903,0.5983082988173063,234377153670.07153,28978758058.690765,588512318517.2798,619835831445.7682,20.308403739227334,559533560458.589,0.051855661469161464,0.05435535050718486,0.0,0.34388185654008435,0.6329113924050632,0.02320675105485232,6.8e-06
r99,La2.48Li0.56Mg2.0W2.0O12.0,"[{""element"": ""La"", ""value"": 3.0}, {""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""W"", ""value"": 6.0}]",2.6563445378151265,3.44,1.320568181818182,1.35,-2.119431818181818,-2.09,2.46,117.50196078431374,138.2,82.22121212121213,83.49341563786008,-54.70658436213991,-55.978787878787855,0.6041491724881338,0.594943647765645,234032967595.19382,28978758058.690765,583557188396.0513,623241344661.0015,20.137411935120586,554578430337.3605,0.05137563859328483,0.0545352159568563,0.0,0.3403361344537815,0.6302521008403361,0.029411764705882356,1.2e-05
lol,Li8.0P2.0S8.0I2.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""I"", ""value"": -1.0}, {""element"": ""S"", ""value"": -2.0}]",1.909,2.5283333333333333,0.98,,-1.5483333333333333,,1.6800000000000002,124.3,162.16666666666666,67.5,,,-94.66666666666666,,0.41623843782117165,3947230429641.718,6495814176897.017,124354808758.77036,,0.019143837149937278,-6371459368138.246,0.014814814814814815,,0.1,0.0,0.5,0.4,0.00012
d7f,Li12.0Bi4.0O16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Bi"", ""value"": 5.0}]",2.325,3.44,1.21,1.9,-2.23,-1.54,2.46,103.9125,138.2,69.625,76.0,-62.19999999999999,-68.57499999999999,0.5499276410998554,0.5037988422575977,115574345438.09615,28978758058.690765,202169932817.50153,435615304993.695,6.976487136130753,173191174758.81076,0.02755847953216374,0.06578947368421052,0.0,0.125,0.5,0.375,4.1e-10
