ID,True Composition,Z_by_element,n_Li,χ⁻,χ⁺(excl Li⁺),r⁺(excl Li⁺) (pm),r⁻ (pm),nₕₒₛₜ cₐₜᵢₒₙ,ρ⁺(excl Li⁺) (C m⁻³),Φ⁺(excl Li⁺) (|Z| pm⁻¹),Ionic conductivity (S cm-1),conductivity_value,conductivity_qualifier,conductivity_used,sample_weight,log10_conductivity
xga,Li20.01Sn1.98P4.02S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.400119976004799,2.58,2.1141,34.16,184.0,0.1199760047990401,26231533811068.125,0.2161892583120205,0.00373,0.00373,exact,0.00373,1.0,-2.4282911681913126
sg4,Li19.71Sn1.68P4.32S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3964996982498491,2.58,2.1256,31.56,184.0,0.1207000603500301,28154358799538.254,0.2279965899403239,0.00436,0.00436,exact,0.00436,1.0,-2.360513510731414
ns3,Li19.62Sn1.62P4.38S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3954050785973397,2.58,2.1279,31.040000000000003,184.0,0.120918984280532,28538923797232.28,0.2303580562659846,0.00496,0.00496,exact,0.00496,1.0,-2.3045183235098023
9lx,Li20.0Sn2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.1133333333333333,34.333333333333336,184.0,0.12,26103345478503.453,0.2154021028701336,0.007,0.007,exact,0.007,1.0,-2.154901959985743
mtn,Li20.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.13,26.666666666666668,184.0,0.12,26472007992911.816,0.2250639386189258,0.0246,0.0246,exact,0.0246,1.0,-1.609064892896621
9rc,Li20.0Ge1.55Sn0.45P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.12625,28.391666666666666,184.0,0.12,26389058927169.934,0.2228900255754475,0.0141,0.0141,exact,0.0141,1.0,-1.85078088734462
13q,Li20.0Sn2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.1133333333333333,34.333333333333336,184.0,0.12,26103345478503.453,0.2154021028701336,0.00398,0.00398,exact,0.00398,1.0,-2.4001169279263124
ik8,Li20.0Ge0.83Sn1.17P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.12025,31.151666666666667,184.0,0.12,26256340421982.92,0.2194117647058823,0.00743,0.00743,exact,0.00743,1.0,-2.1290111862394245
nip,Li19.62Sn1.62P4.38S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3954050785973397,2.58,2.1279,31.040000000000003,184.0,0.120918984280532,28538923797232.28,0.2303580562659846,0.0055,0.0055,exact,0.0055,1.0,-2.2596373105057563
1hh,Li20.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4,2.58,2.13,26.666666666666668,184.0,0.12,26472007992911.816,0.2250639386189258,0.012,0.012,exact,0.012,1.0,-1.9208187539523751
8ub,Li21.0Sn0.6Si2.4P3.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4117647058823529,2.58,2.051,28.6,184.0,0.1176470588235294,21210411876836.152,0.2013407734635356,0.00879,0.00879,exact,0.00879,1.0,-2.0560111249262283
7tu,Li20.4Sn0.48Si1.92P3.6S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4047619047619047,2.58,2.0788,26.28,184.0,0.119047619047619,24752765248463.11,0.2198961481825931,0.00782,0.00782,exact,0.00782,1.0,-2.106793246940152
ui6,Li20.7Sn0.54Si2.16P3.3S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.408284023668639,2.58,2.0649,27.44,184.0,0.1183431952662721,22981588562649.63,0.2106184608230644,0.011,0.011,exact,0.011,1.0,-1.958607314841775
fnu,Li19.2Ba0.4Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ba"", ""value"": 2.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3870967741935484,2.58,2.0525,34.21428571428571,184.0,0.1290322580645161,24818999390708.57,0.2118453106722972,0.000572,0.000572,exact,0.000572,1.0,-3.2426039712069756
pfi,Li18.8Ba0.6Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ba"", ""value"": 2.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3805668016194332,2.58,2.017272727272728,37.64502164502165,184.0,0.1336032388663967,24067631844252.56,0.2058368434238296,0.000707,0.000707,exact,0.000707,1.0,-3.1505805862031004
f0h,Li18.4Ba0.8Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ba"", ""value"": 2.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3739837398373983,2.58,1.9841176470588235,40.87394957983193,184.0,0.1382113821138211,23360462388764.543,0.200181815425272,0.000316,0.000316,exact,0.000316,1.0,-3.500312917381596
7iw,Li18.0Ba1.0Ge2.0P4.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ba"", ""value"": 2.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3673469387755102,2.58,1.9528571428571424,43.91836734693878,184.0,0.1428571428571428,22693702616447.27,0.1948499318837747,9.98e-05,9.98e-05,exact,9.98e-05,1.0,-4.000869458712629
ikh,Li19.2P6.0S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3902439024390243,2.58,2.19,17.0,184.0,0.1219512195121951,38922178734970.95,0.2941176470588235,0.0012,0.0012,exact,0.0012,1.0,-2.9208187539523753
hd3,Li14.0Ge2.0P2.0S16.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.4117647058823529,2.58,2.1,31.5,184.0,0.1176470588235294,20246922621882.25,0.1905370843989769,0.007,0.007,exact,0.007,1.0,-2.154901959985743
ete,Li19.08Si3.48P2.88S23.4Cl0.6,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""Cl"", ""value"": -1.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.3859223300970874,2.5945,2.0313207547169814,25.75471698113208,183.925,0.1286407766990291,19954377340884.062,0.1995089631049675,0.025,0.025,exact,0.025,1.0,-1.6020599913279623
k4x,Li20.7Si2.7P3.3S24.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}, {""element"": ""S"", ""value"": -2.0}]",0.408284023668639,2.58,2.0595,24.2,184.0,0.1183431952662721,23322797243627.08,0.2163101604278074,0.0065,0.0065,exact,0.0065,1.0,-2.1870866433571443
wyu,Li56.0La24.0Zr16.0O96.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""Zr"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}]",0.2916666666666667,3.44,1.1920000000000002,102.58,138.2,0.2083333333333333,169832268285.58978,0.0356431091090659,1.63e-06,1.63e-06,exact,1.63e-06,1.0,-5.787812395596042
019,Li6.0Ti12.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0555555555555555,3.44,1.93,34.4,138.2,0.2777777777777778,23629637065447.984,0.2029168692270296,0.000161,0.000161,exact,0.000161,1.0,-3.7931741239681505
ob9,Li2.67Mg0.67P2.0S6.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Mg"", ""value"": 2.0}, {""element"": ""P"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.2354497354497354,2.58,1.9691760299625467,30.801498127340828,184.0,0.2354497354497354,23375576535810.688,0.1832207289907224,4e-06,4e-06,exact,4e-06,1.0,-5.3979400086720375
ei3,Li9.0Y3.0Cl18.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Y"", ""value"": 3.0}, {""element"": ""Cl"", ""value"": -1.0}]",0.3,3.16,1.22,95.95,181.0,0.1,129885365241.86926,0.0312662845231891,0.000539,0.000539,exact,0.000539,1.0,-3.2684112348132612
deu,Li8.8Al0.8Ge1.2S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.4680851063829787,2.58,1.85,46.1,184.0,0.1063829787234042,1406895167702.2346,0.0781198589894242,4.3e-05,4.3e-05,exact,4.3e-05,1.0,-4.366531544420414
usu,Li8.8Al0.8Sn1.2S8.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""S"", ""value"": -2.0}]",0.4680851063829787,2.58,1.82,59.9,184.0,0.1063829787234042,743302641767.1765,0.0607285546415981,4.3e-06,4.3e-06,exact,4.3e-06,1.0,-5.366531544420414
0o6,Li7.2Ti10.8Sc1.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9228,35.21000000000001,138.2,0.2747252747252747,23610720290398.57,0.2017583092393112,9.98e-05,9.98e-05,exact,9.98e-05,1.0,-4.000869458712629
qea,Li6.0Ti12.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0555555555555555,3.44,1.93,34.4,138.2,0.2777777777777778,23629637065447.984,0.2029168692270296,2e-06,2e-06,exact,2e-06,1.0,-5.698970004336019
0fh,Li7.2Al1.2Ge10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,2.102,28.61,138.2,0.2747252747252747,23965496710390.86,0.2103695306559756,4.83e-05,4.83e-05,exact,4.83e-05,1.0,-4.316052869248487
gw2,Li8.4Al2.4Ge9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,2.086,28.62,138.2,0.2717391304347826,23949019576281.727,0.209485864381005,0.000188,0.000188,exact,0.000188,1.0,-3.72584215073632
1xf,Li9.0Al3.0Ge9.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.081081081081081,3.44,2.078,28.625,138.2,0.2702702702702703,23940781009227.16,0.2090440312435197,0.000336,0.000336,exact,0.000336,1.0,-3.473660722610156
tjh,Li10.2Al4.2Ge7.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Ge"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""P"", ""value"": 5.0}]",0.0909090909090909,3.44,2.062,28.635,138.2,0.267379679144385,23924303875118.023,0.2081603649685491,0.000264,0.000264,exact,0.000264,1.0,-3.5783960731301687
mdj,Li7.2Ti12.0Si1.2P16.8O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9184000000000003,35.04,138.2,0.2747252747252747,22243025377328.527,0.1960006481931615,8.6e-05,8.6e-05,exact,8.6e-05,1.0,-4.0655015487564325
t1l,Li7.8Ti12.0Si1.8P16.2O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Si"", ""value"": 4.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9126,35.36,138.2,0.273224043715847,21549719533268.8,0.1925425376762275,0.00032,0.00032,exact,0.00032,1.0,-3.494850021680094
my9,Li7.2Al1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9328,33.830000000000005,138.2,0.2747252747252747,23648393609244.05,0.2028668357224506,0.000595,0.000595,exact,0.000595,1.0,-3.2254830342714502
9s4,Li7.8Al1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9342,33.544999999999995,138.2,0.273224043715847,23657771881142.08,0.2028418189701612,0.000722,0.000722,exact,0.000722,1.0,-3.141462802430361
xa0,Li9.0Al3.0Ti9.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.081081081081081,3.44,1.937,32.975,138.2,0.2702702702702703,23676528424938.152,0.2027917854655822,0.000248,0.000248,exact,0.000248,1.0,-3.6055483191737836
txm,Li7.8Cr1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9372,34.46,138.2,0.273224043715847,23617782776854.797,0.201876756346562,3.51e-05,3.51e-05,exact,3.51e-05,1.0,-4.454692883534176
v1t,Li8.4Cr2.4Ti9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,1.9396,34.480000000000004,138.2,0.2717391304347826,23613831347323.727,0.2015300520530727,0.000149,0.000149,exact,0.000149,1.0,-3.826813731587726
d6b,Li9.0Cr3.0Ti9.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Cr"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.081081081081081,3.44,1.942,34.5,138.2,0.2702702702702703,23609879917792.664,0.2011833477595835,0.000386,0.000386,exact,0.000386,1.0,-3.413412695328245
3ta,Li7.8Ga1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9462,34.04,138.2,0.273224043715847,23630713823444.004,0.2022526793718473,0.000261,0.000261,exact,0.000261,1.0,-3.583359492661719
gjy,Li8.4Ga2.4Ti9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Ga"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,1.9516,33.919999999999995,138.2,0.2717391304347826,23631072742776.01,0.2020312827534532,0.000128,0.000128,exact,0.000128,1.0,-3.8927900303521317
6st,Li7.2Fe1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9416,34.25,138.2,0.2747252747252747,23627114709650.484,0.20238677857279,0.00018,0.00018,exact,0.00018,1.0,-3.744727494896694
t9r,Li7.8Fe1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9474,34.175,138.2,0.273224043715847,23625853531751.73,0.2021217332456702,0.000246,0.000246,exact,0.000246,1.0,-3.6090648928966207
xr7,Li8.4Fe2.4Ti9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,1.9532,34.1,138.2,0.2717391304347826,23624592353852.984,0.2018566879185503,0.000392,0.000392,exact,0.000392,1.0,-3.406713932979543
pg8,Li9.0Fe3.0Ti9.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Fe"", ""value"": 3.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.081081081081081,3.44,1.959,34.025,138.2,0.2702702702702703,23623331175954.234,0.2015916425914305,0.000174,0.000174,exact,0.000174,1.0,-3.7594507517174005
1wm,Li7.2Sc1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9228,35.21000000000001,138.2,0.2747252747252747,23610720290398.57,0.2017583092393112,0.00069,0.00069,exact,0.00069,1.0,-3.161150909262745
do2,Li7.8Sc1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9192,35.614999999999995,138.2,0.273224043715847,23601261902873.867,0.2011790292454519,0.000703,0.000703,exact,0.000703,1.0,-3.153044674980176
5u3,Li7.2In1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9396,35.18,138.2,0.2747252747252747,23610967739132.297,0.2017722411278561,0.00039,0.00039,exact,0.00039,1.0,-3.408935392973501
2eq,Li7.8In1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9444,35.57,138.2,0.273224043715847,23601633075974.453,0.2011999270782693,0.000393,0.000393,exact,0.000393,1.0,-3.4056074496245734
yn6,Li8.4In2.4Ti9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,1.9492,35.96,138.2,0.2717391304347826,23592298412816.61,0.2006276130286825,0.000302,0.000302,exact,0.000302,1.0,-3.5199930570428495
p4l,Li7.2La1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9124,36.73866666666667,138.2,0.2747252747252747,23604729790624.56,0.2012809270342724,8e-05,8e-05,exact,8e-05,1.0,-4.096910013008056
qkr,Li7.8La1.8Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9036,37.908,138.2,0.273224043715847,23592276153212.848,0.2004629559378938,0.000523,0.000523,exact,0.000523,1.0,-3.281498311132726
e0z,Li8.4La2.4Ti9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0760869565217391,3.44,1.8948,39.07733333333333,138.2,0.2717391304347826,23579822515801.137,0.1996449848415152,0.000498,0.000498,exact,0.000498,1.0,-3.3027706572402824
vus,Li9.0La3.0Ti9.0P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""La"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.081081081081081,3.44,1.886,40.24666666666667,138.2,0.2702702702702703,23567368878389.426,0.1988270137451366,0.000281,0.000281,exact,0.000281,1.0,-3.55129368009492
h7r,Li6.0Ti8.4Sn3.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0555555555555555,3.44,1.9804,35.419999999999995,138.2,0.2777777777777778,23602619593976.57,0.2019395066686394,2.28e-05,2.28e-05,exact,2.28e-05,1.0,-4.642065152999546
9ky,Li6.0Ti3.6Sn8.4P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0555555555555555,3.44,2.0476,36.78,138.2,0.2777777777777778,23566596298681.363,0.2006363565907857,9.42e-06,9.42e-06,exact,9.42e-06,1.0,-5.025949097207123
4ea,Li6.0Ti2.4Sn9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""Sn"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0555555555555555,3.44,2.0644,37.12,138.2,0.2777777777777778,23557590474857.56,0.2003105690713224,3.15e-06,3.15e-06,exact,3.15e-06,1.0,-5.501689446210399
7kf,Li10.2Al1.8Ti9.6P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0913978494623656,3.44,1.942244897959184,32.994897959183675,138.2,0.2634408602150537,24126485091753.89,0.2056321478781372,0.00122,0.00122,exact,0.00122,1.0,-2.9136401693252516
i8k,Li7.2In1.2Ti10.8P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""In"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0659340659340659,3.44,1.9396,35.18,138.2,0.2747252747252747,23610967739132.297,0.2017722411278561,8.22e-05,8.22e-05,exact,8.22e-05,1.0,-4.0851281824599495
hzf,Li7.8Al1.2Sc0.6Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9292,34.235,138.2,0.273224043715847,23638935221719.348,0.2022875557285914,0.000972,0.000972,exact,0.000972,1.0,-3.0123337350737254
x61,Li7.8Al0.9Sc0.9Ti10.2P18.0O72.0,"[{""element"": ""Li"", ""value"": 1.0}, {""element"": ""Al"", ""value"": 3.0}, {""element"": ""Sc"", ""value"": 3.0}, {""element"": ""O"", ""value"": -2.0}, {""element"": ""Ti"", ""value"": 4.0}, {""element"": ""P"", ""value"": 5.0}]",0.0710382513661202,3.44,1.9267,34.58,138.2,0.273224043715847,23629516892007.977,0.2020104241078066,0.00124,0.00124,exact,0.00124,1.0,-2.906578314837765
