addition_id,ID,DOI,Reduced Composition,True Composition,target_temperature_c,target_temperature_k,source_temperature_c,source_temperature_k,source_conductivity_s_cm,activation_energy_ev,calculation_method,calculated_conductivity_s_cm,stored_conductivity_s_cm,structure_source,structure_temperature_k,structure_status,status,year,added_at,note
ADD-0080,v23,10.1039/C9EE02311A,Li3InCl6,Li3InCl6,,,,,0.00149,,review_table_mS_cm_to_S_cm,0.00149,0.00149,review table,,phase_and_structure_not_imported,active,2019,2026-08-04,Curator row 23; ball-milled and annealed at 260 C; monoclinic; original 1.49 mS/cm
ADD-0081,v24,10.1021/acs.nanolett.0c01156,Li3InCl6,Li3InCl6,,,,,0.00142,,review_table_mS_cm_to_S_cm,0.00142,0.00142,review table,,phase_and_structure_not_imported,active,2020,2026-08-04,Curator row 24; ball-milled and annealed; independent group; original 1.42 mS/cm
ADD-0083,v27,10.1021/acsami.1c25087,Li2.4Er0.4Zr0.6Cl6,Li2.4Er0.4Zr0.6Cl6,,,,,0.00138,,review_table_mS_cm_to_S_cm,0.00138,0.00138,review table,,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 27; ball-milled Zr-doped x=0.6 sample; distinct 2022 source; original 1.38 mS/cm
ADD-0084,v28,10.1016/j.jpowsour.2022.231939,Li3InCl5.6F0.4,Li3InCl5.6F0.4,30.0,303.15,30.0,303.15,0.00137,,review_table_mS_cm_to_S_cm,0.00137,0.00137,review table,303.15,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 28; F- substitution; original 1.37 mS/cm at 30 C
ADD-0085,v30,10.1002/aenm.202103921,Li2.73Ho1.09Cl6,Li2.73Ho1.09Cl6,,,,,0.0013,,review_table_mS_cm_to_S_cm,0.0013,0.0013,review table,,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 30; eutectic synthesis; orthorhombic; original 1.3 mS/cm
ADD-0086,v31,10.1002/aenm.202100836,Li3InCl6,Li3InCl6,,,,,0.0013,,review_table_mS_cm_to_S_cm,0.0013,0.0013,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 31; undoped baseline; original 1.3 mS/cm
ADD-0087,v32,10.1021/acsami.2c21022,Li2.7In0.7Hf0.3Cl6,Li2.7In0.7Hf0.3Cl6,,,,,0.00128,,review_table_mS_cm_to_S_cm,0.00128,0.00128,review table,,phase_and_structure_not_imported,active,2023,2026-08-04,Curator row 32; Hf4+ doped; corrected DOI; original 1.28 mS/cm
ADD-0088,v33,10.1126/sciadv.abh1896,Li3ScCl6,Li3ScCl6,,,,,0.00125,,review_table_mS_cm_to_S_cm,0.00125,0.00125,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 33; NH4Cl-assisted wet-chemical synthesis; monoclinic; original 1.25 mS/cm
ADD-0089,v34,10.1021/acs.nanolett.0c01156,Li3Y0.5In0.5Cl6,Li3Y0.5In0.5Cl6,,,,,0.00122,,review_table_mS_cm_to_S_cm,0.00122,0.00122,review table,,phase_and_structure_not_imported,active,2020,2026-08-04,Curator row 34; ball-milled and annealed; monoclinic; original 1.22 mS/cm
ADD-0090,v35,10.1039/D0EE01017K,Li2.08Sc0.64Cl4,Li2.08Sc0.64Cl4,,,,,0.00122,,review_table_mS_cm_to_S_cm,0.00122,0.00122,review table,,phase_and_structure_not_imported,active,2020,2026-08-04,Curator row 35; increased LiCl impurity; original 1.22 mS/cm
ADD-0091,v37,10.1021/acsami.1c25087,Li2.6Er0.6Zr0.4Cl6,Li2.6Er0.6Zr0.4Cl6,,,,,0.00113,,review_table_mS_cm_to_S_cm,0.00113,0.00113,review table,,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 37; Zr4+ substituted; 4.21 V oxidative stability; original 1.13 mS/cm
ADD-0093,v39,10.1021/acsmaterialslett.1c00142,Li2.7Yb0.7Zr0.3Cl6,Li2.7Yb0.7Zr0.3Cl6,,,,,0.0011,,review_table_mS_cm_to_S_cm,0.0011,0.0011,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 39; orthorhombic; corrected DOI; original 1.1 mS/cm
ADD-0094,v40,10.1021/acsami.1c13295,Li2.8Yb0.8Zr0.2Cl6,Li2.8Yb0.8Zr0.2Cl6,,,,,0.0011,,review_table_mS_cm_to_S_cm,0.0011,0.0011,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 40; Zr4+ doped; corrected DOI; original 1.1 mS/cm
ADD-0095,v42,10.1039/D0EE01017K,Li1.9Sc0.7Cl4,Li1.9Sc0.7Cl4,,,,,0.00109,,review_table_mS_cm_to_S_cm,0.00109,0.00109,review table,,phase_and_structure_not_imported,active,2020,2026-08-04,Curator row 42; low Li+ concentration; original 1.09 mS/cm
ADD-0096,v43,10.1126/sciadv.abh1896,Li3YBr6,Li3YBr6,,,,,0.00109,,review_table_mS_cm_to_S_cm,0.00109,0.00109,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 43; NH4Cl-assisted wet-chemical synthesis; monoclinic; original 1.09 mS/cm
ADD-0097,v44,10.1016/j.cclet.2021.12.048,Li2.25Zr0.75In0.25Cl6,Li2.25Zr0.75In0.25Cl6,,,,,0.00108,,review_table_mS_cm_to_S_cm,0.00108,0.00108,review table,,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 44; ball-milled; tabulated value; corrected DOI; original 1.08 mS/cm
ADD-0099,v46,10.1002/aenm.202003190,Li2.25Zr0.75Fe0.25Cl6,Li2.25Zr0.75Fe0.25Cl6,,,,,0.001,,review_table_mS_cm_to_S_cm,0.001,0.001,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 46; Fe3+ doped and annealed; trigonal; original 1.0 mS/cm
ADD-0100,v47,10.1002/aenm.202100836,Li3InCl4.8F1.2,Li3InCl4.8F1.2,,,,,0.00098,,review_table_mS_cm_to_S_cm,0.00098,0.00098,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 47; ball-milled and annealed; tabulated value; original 0.98 mS/cm
ADD-0102,v49,10.1039/C9EE02311A,Li3InCl6,Li3InCl6,,,,,0.00083,,review_table_mS_cm_to_S_cm,0.00083,0.00083,review table,,phase_and_structure_not_imported,active,2019,2026-08-04,Curator row 49; ball-milled without annealing; corrected DOI; original 0.83 mS/cm
ADD-0103,v50,10.1038/s41467-021-24697-2,Li2ZrCl6,Li2ZrCl6,,,,,0.00081,,review_table_mS_cm_to_S_cm,0.00081,0.00081,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 50; ball-milled and annealed; trigonal; corrected DOI; original 0.81 mS/cm
ADD-0105,v52,10.1021/acsami.2c06216,Li3InCl6,Li3InCl6,20.0,293.15,20.0,293.15,0.00079,,review_table_mS_cm_to_S_cm,0.00079,0.00079,review table,293.15,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 52; ethanol-mediated and heated at 200 C; corrected DOI; original 0.79 mS/cm at 20 C
ADD-0107,v54,10.1002/adfm.202108805,Li3InCl6,Li3InCl6,,,,,0.0007,,review_table_mS_cm_to_S_cm,0.0007,0.0007,review table,,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 54; mechanically milled and unannealed; original 0.7 mS/cm
ADD-0108,v55,10.1016/j.cej.2022.140509,Li3ScCl6,Li3ScCl6,25.0,298.15,25.0,298.15,0.00068,,review_table_mS_cm_to_S_cm,0.00068,0.00068,review table,298.15,phase_and_structure_not_imported,active,2023,2026-08-04,Curator row 55; undoped comparator; original 0.68 mS/cm at 25 C
ADD-0109,v56,10.1021/acsami.2c21022,Li3InCl6,Li3InCl6,,,,,0.00067,,review_table_mS_cm_to_S_cm,0.00067,0.00067,review table,,phase_and_structure_not_imported,active,2023,2026-08-04,Curator row 56; undoped Hf-doping reference; corrected DOI; original 0.67 mS/cm
ADD-0112,v60,10.1021/acsami.1c25087,Li3ErCl6,Li3ErCl6,,,,,0.000429,,review_table_mS_cm_to_S_cm,0.000429,0.000429,review table,,phase_and_structure_not_imported,active,2022,2026-08-04,Curator row 60; mechanical milling; corrected DOI; original 0.429 mS/cm
ADD-0113,v61,10.1126/sciadv.abh1896,Li3ErCl6,Li3ErCl6,,,,,0.000407,,review_table_mS_cm_to_S_cm,0.000407,0.000407,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 61; NH4Cl-assisted wet-chemical synthesis; trigonal; original 0.407 mS/cm
ADD-0114,v63,10.1002/aenm.202003190,Li2ZrCl6,Li2ZrCl6,,,,,0.0004,,review_table_mS_cm_to_S_cm,0.0004,0.0004,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 63; mechanical milling; trigonal; original 0.4 mS/cm
ADD-0115,v65,10.1126/sciadv.abh1896,Li3YCl6,Li3YCl6,,,,,0.000345,,review_table_mS_cm_to_S_cm,0.000345,0.000345,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 65; NH4Cl-assisted wet-chemical synthesis at 500 C; original 0.345 mS/cm
ADD-0120,v74,10.1021/acsmaterialslett.1c00142,Li3YbCl6,Li3YbCl6,,,,,0.000106,,review_table_mS_cm_to_S_cm,0.000106,0.000106,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 74; calcined at 350 C; trigonal; corrected DOI; original 0.106 mS/cm
ADD-0122,v77,10.1021/acsmaterialslett.1c00142,Li3YbCl6,Li3YbCl6,,,,,0.000063,,review_table_mS_cm_to_S_cm,0.000063,0.000063,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 77; calcined at 650 C; orthorhombic; corrected DOI; original 0.063 mS/cm
ADD-0123,v78,10.1021/acs.nanolett.0c01156,Li3YCl6,Li3YCl6,,,,,0.0000608,,review_table_mS_cm_to_S_cm,0.0000608,0.0000608,review table,,phase_and_structure_not_imported,active,2020,2026-08-04,Curator row 78; starting hcp value for In3+ substitution; original 0.0608 mS/cm
ADD-0124,v80,10.1021/acsmaterialslett.1c00055,LiAlCl4,LiAlCl4,,,,,0.000029,,review_table_mS_cm_to_S_cm,0.000029,0.000029,review table,,phase_and_structure_not_imported,active,2021,2026-08-04,Curator row 80; Flores ball-milling improvement; corrected DOI; original 0.029 mS/cm
