ID,化学式,电导率（室温，S/cm）,电导率测得温度（°C）,电导率（其他温度，S/cm）,化合物制备方法,family,非晶,对应文献DOI,文献年份,备注
68u,Li5La3Nb2O12,8e-06,RT,,unknow,garnet,unknow,10.1111/j.1551-2916.2005.00060.x,2005,close match: Yes；close match DOI: 10.1016/0025-5408(88)90264-4
gyw,Li6SrLa2Ta2O12,4.2e-06,RT,,unknow,garnet,unknow,10.1111/j.1551-2916.2005.00060.x,2005,
cjq,Li6SrLa2Nb2O12,4.2e-06,RT,,unknow,garnet,unknow,10.1111/j.1551-2916.2005.00060.x,2005,duplicate with line 491; 374
uaz,Li6CaLa2Nb2O12,1.6e-06,RT,,unknow,garnet,unknow,10.1111/j.1551-2916.2005.00060.x,2005,"ic # check, was wrong paper；close match: Yes；close match DOI: 10.1016/j.cej.2019.121937"
ihb,Li0.33La0.56Ti0.99Al0.01O2.99F0.01,0.00098,RT,,unknow,perovskites,unknow,10.1007/s11581-006-0011-9,2006,
3k7,Li0.33La0.56Ti0.98Al0.02O2.98F0.02,0.00106,RT,,unknow,perovskites,unknow,10.1007/s11581-006-0011-9,2006,
1sz,Li0.33La0.56Ti0.97Al0.03O2.97F0.03,0.000928,RT,,unknow,perovskites,unknow,10.1007/s11581-006-0011-9,2006,
yh8,Li0.33La0.56Ti0.96Al0.04O2.96F0.04,0.000622,RT,,unknow,perovskites,unknow,10.1007/s11581-006-0011-9,2006,
coh,Li0.33La0.56Ti0.95Al0.05O2.95F0.05,0.000176,RT,,unknow,perovskites,unknow,10.1007/s11581-006-0011-9,2006,
1pw,Li0.33La0.56Ti0.94Al0.06O2.94F0.06,0.000106,RT,,unknow,perovskites,unknow,10.1007/s11581-006-0011-9,2006,
bw3,Li0.33La0.56Ti0.93Al0.07O2.93F0.07,0.000645,RT,,unknow,perovskites,unknow,10.1007/s11581-006-0011-9,2006,
my5,Li0.33La0.56Ti0.92Al0.08O2.92F0.08,0.000494,RT,,unknow,perovskites,unknow,10.1007/s11581-006-0011-9,2006,
0v9,Li5.5La3Nb1.75In0.25O12,2.4e-05,RT,,unknow,garnet,unknow,10.1016/j.jssc.2005.12.025,2006,
qtc,Li5.5La2.75K0.25Nb2O12,1.06e-05,RT,,unknow,garnet,unknow,10.1016/j.jssc.2005.12.025,2006,
00x,LiGd(PO3)4,<1E-10,RT,,unknow,phosphates,unknow,10.1016/j.jssc.2006.06.003,2006,
bqx,Li3Nd3Te2O12,<1E-10,RT,,unknow,garnet,unknow,10.1021/cm060992t,2006,
mdp,Li7P3S11,0.0032,RT,,unknow,thio-phosphate,unknow,10.1039/c3ee41655k|10.1016/j.ssi.2007.05.020|10.1016/j.ssi.2006.04.017,2006,
4t5,LiCrSb(PO4)3,3.57e-10,RT,,unknow,NASICON,unknow,10.1063/1.2357843,2006,
smk,LiAlSb(PO4)3,3.17e-08,RT,,unknow,NASICON,unknow,10.1063/1.2357843,2006,
vtr,LiFeSb(PO4)3,1.37e-06,RT,,unknow,NASICON,unknow,10.1063/1.2357843,2006,
2mn,Li7La3Zr2O12,0.000511,RT,,unknow,garnet,unknow,10.1002/anie.200701144,2007,appendix: diffraction data available
aax,Li5.25Ba0.25La2.75Ta2O12,7.41e-06,RT,,unknow,garnet,unknow,10.1007/s11581-007-0097-8,2007,lattice parameter double check
o86,Li5.5Ba0.5La2.5Ta2O12,1.41e-05,RT,,unknow,garnet,unknow,10.1007/s11581-007-0097-8,2007,lattice parameter double check
coi,Li6.25Ba1.25La1.75Ta2O12,4.99e-05,RT,,unknow,garnet,unknow,10.1007/s11581-007-0097-8,2007,lattice parameter double check
3vi,Li6.5Ba1.5La1.5Ta2O12,3.08e-05,RT,,unknow,garnet,unknow,10.1007/s11581-007-0097-8,2007,lattice parameter double check
vwn,Li6.75Ba1.75La1.25Ta2O12,1.18e-05,RT,,unknow,garnet,unknow,10.1007/s11581-007-0097-8,2007,lattice parameter double check
tlp,Li7Ba2LaTa2O12,2.85e-06,RT,,unknow,garnet,unknow,10.1007/s11581-007-0097-8,2007,lattice parameter double check
ka6,Li5La3Ta2O12,6.61e-06,RT,,unknow,garnet,unknow,10.1007/s11581-007-0097-8,2007,lattice parameter double check；close match: Yes；close match DOI: 10.1039/c6dt04021g
7o7,Li6BaLa2Ta2O12,2.95e-05,RT,,unknow,garnet,unknow,10.1007/s11581-007-0097-8,2007,lattice parameter double check；close match: Yes；close match DOI: 10.1021/am4060194
kbq,Li5La3Bi2O12,1.9e-05,RT,,unknow,garnet,unknow,10.1016/j.mseb.2007.07.009,2007,
uw9,Li6La2SrBi2O12,2e-05,RT,,unknow,garnet,unknow,10.1016/j.mseb.2007.07.009,2007,
qy4,Li3Na5(TiS4)2,8.8e-06,RT,,unknow,sulfides,unknow,10.1016/j.jssc.2008.01.023,2008,
vqu,Li5Nd3Sb2O12,1.3e-07,RT,,unknow,garnet,unknow,10.1016/j.materresbull.2007.04.002,2008,
w3n,Li1.4Al0.4Ti1.6(PO4)3,0.00112,RT,,unknow,NASICON,unknow,10.1016/j.materresbull.2007.08.007,2008,refer D2 - 134; D2 - 243; D1 - 40; D1 - 170
xog,Li5La3Sb2O12,7.8e-06,RT,,unknow,garnet,unknow,10.1016/j.materresbull.2007.10.035,2008,
bi3,Li6SrLa2Sb2O12,6.3e-06,RT,,unknow,garnet,unknow,10.1016/j.materresbull.2007.10.035,2008,
tbj,Li5La3Sb2O12,3.33e-06,RT,,unknow,garnet,unknow,10.1016/j.ssi.2008.01.002,2008,duplicate with line 536
gcj,Li6(La2Ca)(NbO6)2,1.33e-06,RT,,unknow,garnet,unknow,10.1016/j.ssi.2008.01.047,2008,
20k,Li6(La2Sr)(NbO6)2,3.69e-06,RT,,unknow,garnet,unknow,10.1016/j.ssi.2008.01.047,2008,"Value for annealed, quenched also available: 6.2e-7"
lpt,Li4Nd3TeSbO12,8.7e-09,RT,,unknow,garnet,unknow,10.1021/cm703677q,2008,
n27,LiBO2,1e-08,RT,,unknow,borates,unknow,10.1140/epjst/e2008-00753-4,2008,"Value for nanocrystalline ceramic (16h) other values for micro, single crystal and amorphous"
mde,LiB6O9F,<1E-10,RT,,unknow,fluorooxoborate,unknow,10.1002/zaac.200900056,2009,
wyu,Li7La3Zr2O12,1.63e-06,RT,,unknow,garnet,unknow,10.1016/j.jssc.2009.05.020,2009,
jej,Li6CaLa2Ta2O12,2.2e-06,RT,,unknow,garnet,unknow,10.1016/j.ssi.2008.10.022,2009,
hud,Li6BaLa2Ta2O12,1.3e-05,RT,,unknow,garnet,unknow,10.1016/j.ssi.2008.10.022,2009,
rgo,Li7La3Ta2O13,2.65e-06,RT,,unknow,garnet,unknow,10.1016/j.ssi.2009.07.002,2009,
jy6,Li6PO5Cl,1e-09,RT,,unknow,argyrodites,unknow,10.1002/zaac.201000121,2010,
32j,Li7La3Hf2O12,0.00024,RT,,unknow,garnet,unknow,10.1007/s11581-010-0486-2,2010,
ipo,Li7La3Hf2O12,9.85e-07,RT,,unknow,garnet,unknow,10.1016/j.jssc.2009.10.030,2010,
8k7,Li5La3Ta2O12,1.54e-06,RT,,unknow,garnet,unknow,10.1016/j.ssi.2009.11.015,2010,
jl4,(Li0.61Mg0.39)(Li0.46Mg0.005Ti0.035)Ti1.5O4,6.56e-10,RT,,unknow,oxides,unknow,10.1016/j.ssi.2010.06.003,2010,
jkq,(Li0.55Mg0.45)(Li0.445Mg0.055)Ti1.5O4,1.53e-11,RT,,unknow,oxides,unknow,10.1016/j.ssi.2010.06.003,2010,
m0v,Li(Li0.34Ti1.66)O4,6.03e-08,RT,,unknow,oxides,unknow,10.1016/j.ssi.2010.06.003,2010,
6du,(Li0.916Mg0.084)(Li0.352Mg0.016Ti1.634)O4,1.73e-08,RT,,unknow,oxides,unknow,10.1016/j.ssi.2010.06.003,2010,
u0c,(Li0.826Mg0.174)(Li0.374Mg0.026Ti1.60)O4,4.24e-09,RT,,unknow,oxides,unknow,10.1016/j.ssi.2010.06.003,2010,
xub,(Li0.74Mg0.26)(Li0.40Mg0.04Ti1.56)O4,1.51e-09,RT,,unknow,oxides,unknow,10.1016/j.ssi.2010.06.003,2010,
tvf,Li3(NH2)2I,1e-05,RT,,unknow,hydrides,unknow,10.1021/cm1006857,2010,
gvd,Li3N,0.0005767,RT,,unknow,nitrides,unknow,10.1039/c0ee00052c,2010,
883,LiAlH4,8.7e-09,RT,,unknow,hydrides,unknow,10.1063/1.3356981,2010,
95j,Li3AlH6,1.4e-07,RT,,unknow,hydrides,unknow,10.1063/1.3356981,2010,
tws,Li6Zr2O7,5.2e-10,RT,,unknow,zirconates,unknow,10.3103/s1062873810050199,2010,
w87,Li6PS5Br,3.2e-05,RT,,unknow,argyrodites,unknow,10.1002/pssa.201001117,2011,close match: Yes；close match DOI: 10.1021/acs.inorgchem.0c01504
97p,Li6PS5Cl,3.3e-05,RT,,unknow,argyrodites,unknow,10.1002/pssa.201001117,2011,close match: Yes；close match DOI: 10.1021/acs.inorgchem.0c01504
p9u,Li6PS5I,0.00022,RT,,unknow,argyrodites,unknow,10.1002/pssa.201001117,2011,close match: Yes；close match DOI: 10.1021/jacs.7b06327
xz4,(Li0.5Ce0.5)(MoO4),1.3e-08,RT,,unknow,molybdates,unknow,10.1007/s12039-011-0068-5,2011,partial occupancy corrected
hja,(Li0.5Ce0.25Pr0.25)(MoO4),1e-09,RT,,unknow,molybdates,unknow,10.1007/s12039-011-0068-5,2011,partial occupancy corrected
3nb,(Li0.5Ce0.25Sm0.25)(MoO4),1.8e-10,RT,,unknow,molybdates,unknow,10.1007/s12039-011-0068-5,2011,partial occupancy corrected
dvs,Li7.06La3Y0.06Zr1.94O12,0.00081,RT,,unknow,garnet,unknow,10.1016/j.elecom.2011.08.014,2011,
66a,Li6.75La3Zr1.75Nb0.25O12,0.0008,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2010.11.089,2011,
gkl,Li5La3Nb2O12,5.08e-06,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2011.05.031,2011,ic # incorrect；close match: Yes；close match DOI: 10.1039/b514640b
ijh,Li5La3Nb1.95Y0.05O11.95,1.34e-05,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2011.05.031,2011,
q46,Li5La3Nb1.9Y0.1O11.9,1.44e-05,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2011.05.031,2011,
8m3,Li5La3Nb1.85Y0.15O11.85,5.71e-06,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2011.05.031,2011,
zyx,Li5La3Nb1.8Y0.2O11.8,9.13e-06,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2011.05.031,2011,
qvu,Li5La3Nb1.75Y0.25O11.75,9.68e-06,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2011.05.031,2011,
9p1,Li7La3Zr2O12,0.000569,RT,,unknow,garnet,unknow,10.1016/j.ssi.2010.12.010,2011,
1xt,LiSbO2,<1E-10,RT,,unknow,oxides,unknow,10.1021/ic201183e,2011,
1hh,Li10GeP2S12,0.012,RT,,unknow,LGPS,unknow,10.1038/nmat3066,2011,appendix: diffraction data available
etz,Li7La3Zr2O12,1.97e-06,RT,,unknow,garnet,unknow,10.1039/c1cp22108f,2011,close match: Yes；close match DOI: 10.1021/ic101914e
ku9,Li0.4Na0.1La0.5Nb2O6,9.92e-06,RT,,unknow,perovskites,unknow,10.1134/s002016851103006x,2011,partial occupancy corrected
9n0,Li0.3Na0.2La0.5Nb2O6,1.11e-05,RT,,unknow,perovskites,unknow,10.1134/s002016851103006x,2011,partial occupancy corrected
ozo,Li0.2Na0.3La0.5Nb2O6,1.18e-05,RT,,unknow,perovskites,unknow,10.1134/s002016851103006x,2011,partial occupancy corrected
h5i,Li0.1Na0.4La0.5Nb2O6,1.21e-05,RT,,unknow,perovskites,unknow,10.1134/s002016851103006x,2011,"partial occupancy corrected, changed symmetry to reflect actual higher symmetry"
o9h,Li0.07Na0.43La0.5Nb2O6,1.23e-05,RT,,unknow,perovskites,unknow,10.1134/s002016851103006x,2011,partial occupancy corrected
4xq,Li0.04Na0.46La0.5Nb2O6,5.91e-06,RT,,unknow,perovskites,unknow,10.1134/s002016851103006x,2011,partial occupancy corrected
0ii,Li0.02Na0.48La0.5Nb2O6,3.99e-06,RT,,unknow,perovskites,unknow,10.1134/s002016851103006x,2011,partial occupancy corrected
1e9,Li3SbS3,1e-09,RT,,unknow,sulfides,unknow,10.1002/zaac.201200277,2012,
dq4,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,0.000426,RT,,unknow,NASICON,unknow,10.1007/s10008-012-1780-x,2012,refer D2 - 144
0fa,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,0.000269,RT,,unknow,NASICON,unknow,10.1007/s10008-012-1780-x,2012,
4uu,Li6.15La3Zr1.75Ta0.25Ga0.2O12,0.00041,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2012.01.131,2012,
sdz,Li6.15La3Zr1.75Ta0.25Al0.2O12,0.00037,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2012.01.131,2012,
7w5,Li6.75La3Zr1.75Ta0.25O12,0.00087,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2012.01.131,2012,close match: Yes；close match DOI: 10.1039/c1jm14588f
8ee,Li6.4Al0.19La3Zr2O11.8,0.00031,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2012.02.100,2012,
3o4,Li6.25La3Zr2Ga0.25O12,0.00035,RT,,unknow,garnet,unknow,10.1016/j.matchemphys.2012.03.054,2012,
ner,Li6BaLa2Ta2O12,1.69e-05,RT,,unknow,garnet,unknow,10.1016/j.materresbull.2012.04.032,2012,
h7r,Li(Ti1.4Sn0.6)(PO4)3,2.28e-05,RT,,unknow,NASICON,unknow,10.1016/j.physb.2011.11.006,2012,partial occupancy corrected
9ky,Li(Ti0.6Sn1.4)(PO4)3,9.42e-06,RT,,unknow,NASICON,unknow,10.1016/j.physb.2011.11.006,2012,partial occupancy corrected
4ea,Li(Ti0.4Sn1.6)(PO4)3,3.15e-06,RT,,unknow,NASICON,unknow,10.1016/j.physb.2011.11.006,2012,partial occupancy corrected
hzf,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,0.000972,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2012.03.045,2012,
x61,Li1.3Al0.15Sc0.15Ti1.7(PO4)3,0.00124,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2012.03.045,2012,
czo,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,0.000429,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2012.03.045,2012,
o8s,Li1.3Sc0.3Ti1.7(PO4)3,0.000452,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2012.03.045,2012,
lap,Li1.3Al0.3Ti1.7(PO4)3,0.00113,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2012.03.045,2012,close match: Yes；close match DOI: 10.1021/acs.chemmater.9b04419
f7p,Li1.3Al0.2Y0.1Ti1.7(PO4)3,0.00012,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2012.05.011,2012,
l8t,Li1.3Al0.1Y0.2Ti1.7(PO4)3,7.3e-05,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2012.05.011,2012,
3tt,Li1.3Al0.15Y0.15Ti1.7(PO4)3,1.9e-05,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2012.05.011,2012,
tt3,Li6PS5Cl,0.0013,RT,,unknow,argyrodites,unknow,10.1016/j.ssi.2012.06.008,2012,
ga9,LiCe(BH4)3Cl,0.000103,RT,,unknow,argyrodites,unknow,10.1021/cm300792t,2012,
kmv,Li4SnS4,7e-05,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/cm3011315,2012,
472,Li14Nd5(Si11N19O5)O2F2,1.7e-10,RT,,unknow,nitridosilicates,unknow,10.1021/ja302255d,2012,
trv1_0001,Li3OCl,8.5e-4,RT,,unknow,antiperovskite,否,10.1021/ja308741y,2012,富锂反钙钛矿纯相
trv1_0002,Li3OCl0.5Br0.5,1.94e-3,RT,,unknow,antiperovskite,否,10.1021/ja308741y,2012,混合卤素固溶体；系列最高值
j5g,Li6La3Nb1.5Y0.5O12,0.000188,RT,,unknow,garnet,unknow,10.1021/jp304737x,2012,
dvb,Li5.2La3Nb1.9Y0.1O12,6.39e-05,RT,,unknow,garnet,unknow,10.1021/jp304737x,2012,
cti,Li5.4La3Nb1.8Y0.2O12,6.74e-05,RT,,unknow,garnet,unknow,10.1021/jp304737x,2012,
2d1,Li5.5La3Nb1.75Y0.25O12,9.18e-05,RT,,unknow,garnet,unknow,10.1021/jp304737x,2012,
3rh,Li6.5La3Nb1.25Y0.75O12,0.00027,RT,,unknow,garnet,unknow,10.1021/jp304737x,2012,duplicate with line 550
a6v,Li5.4La3Nb1.8Y0.75O12,2.51e-05,RT,,unknow,garnet,unknow,10.1021/jp304737x,2012,wrong composition;  may duplicate with 548
v07,La3Zr2Ga0.5Li5.5O12,0.0001,RT,,unknow,garnet,unknow,10.1039/c2dt31318a,2012,appendix: diffraction data available
3qz,Li7La3Zr2O12,0.00012,RT,,unknow,garnet,unknow,10.1039/c2jm31413d,2012,
kji,Li6.4La3Zr1.4Ta0.6O12,0.001,RT,,unknow,garnet,unknow,10.1039/c2jm31413d,2012,close match: Yes；close match DOI: 10.2109/jcersj2.19022
gdr,Li6.2La3Zr1.2Ta0.8O12,0.00032,RT,,unknow,garnet,unknow,10.1039/c2jm31413d,2012,close match: Yes；close match DOI: 10.2109/jcersj2.19022
kh3,Li6.5La3Zr1.5Ta0.5O12,0.00092,RT,,unknow,garnet,unknow,10.1039/c2jm31413d,2012,close match: Yes；close match DOI: 10.2109/jcersj2.19094
zqx,Li6.6La3Zr1.6Ta0.4O12,0.00073,RT,,unknow,garnet,unknow,10.1039/c2jm31413d,2012,
o5q,Li6.8La3Zr1.8Ta0.2O12,0.00028,RT,,unknow,garnet,unknow,10.1039/c2jm31413d,2012,close match: Yes；close match DOI: 10.2109/jcersj2.19022
0ew,Li6La3ZrTaO12,0.00016,RT,,unknow,garnet,unknow,10.1039/c2jm31413d,2012,duplicate with line 510
l9v,Li3AlF6,5e-07,RT,,unknow,fluorides,unknow,10.1149/2.012206eel,2012,Ball milled conducvitity; structure may be different
v1q,Li6.8La3Zr1.8Ta0.2O12,0.00073,RT,,unknow,garnet,unknow,10.1149/2.024205esl,2012,
4vd,Li6.75La3Zr1.75Ta0.25O12,0.00063,RT,,unknow,garnet,unknow,10.1149/2.024205esl,2012,duplicate with line 512
5xk,Li6.65La3Zr1.65Ta0.35O12,0.00046,RT,,unknow,garnet,unknow,10.1149/2.024205esl,2012,
2wb,Li6.6La3Zr1.6Ta0.4O12,0.00047,RT,,unknow,garnet,unknow,10.1149/2.024205esl,2012,close match: Yes；close match DOI: 10.2109/jcersj2.19022
zfg,Li6.55La3Zr1.55Ta0.45O12,0.0004,RT,,unknow,garnet,unknow,10.1149/2.024205esl,2012,
6hq,Li6La3ZrTaO12,0.00035,RT,,unknow,garnet,unknow,10.1149/2.024205esl,2012,
hcm,Li5La3Ta2O12,3.4e-05,RT,,unknow,garnet,unknow,10.1149/2.024205esl,2012,close match: Yes；close match DOI: 10.1016/0167-577x(88)90011-0
e6a,Li6.7La3Zr1.7Ta0.3O12,0.00069,RT,,unknow,garnet,unknow,10.1149/2.024205esl,2012,close match: Yes；close match DOI: 10.1021/acsaem.1c03632
g5q,Li6.5La3Zr1.5Ta0.5O12,0.00028,RT,,unknow,garnet,unknow,10.1149/2.024205esl,2012,close match: Yes；close match DOI: 10.2109/jcersj2.19022
2ha,La0.56Li0.33TiO3,0.000165,RT,,unknow,perovskites,unknow,10.1016/j.jallcom.2013.04.195,2013,
85t,La0.57Li0.29TiO3,0.0016,RT,,unknow,perovskites,unknow,10.1016/j.jpowsour.2012.11.098,2013,
d6f,Li7La3Zr1.89Al0.15O12,0.00034,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2013.03.049,2013,
r07,Li6.75La3Zr1.875Te0.125O12,0.00033,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2013.03.166,2013,
uht,Li6.5La3Zr1.75Te0.25O12,0.00102,RT,,unknow,garnet,unknow,10.1016/j.jpowsour.2013.03.166,2013,
lpx,Li1.15Y0.15Zr1.85(PO4)3,7.1e-05,RT,,unknow,NASICON,unknow,10.1016/j.jpowsour.2013.03.175,2013,bulk ic (total ic 7.10E-05)
cdk,Li2(PO2N),<1E-10,RT,,unknow,LIPON,unknow,10.1016/j.ssi.2012.12.013,2013,
2t8,LiV(PO4)F,8.1e-07,RT,,unknow,Tavorite,unknow,10.1016/j.ssi.2013.04.002,2013,appendix: diffraction data available
2uv,Li4SnSe4,2e-05,RT,,unknow,Chalcogenidotetrelates,unknow,10.1021/cm400541n,2013,
019,LiTi2(PO4)3,0.000161,RT,,unknow,NASICON,unknow,10.1021/ic400577v,2013,
yqu,Li1.2Ti1.8Al0.2(PO4)3,0.00482,RT,,unknow,NASICON,unknow,10.1021/ic400577v,2013,"true formula for lattice params is  Li1.17(Ti1.83Al0.17)(PO4)3, IC at Li1.2"
joc,Li3PS4,2.6e-07,RT,,unknow,thio-LISICON,unknow,10.1021/ja3110895,2013,phase: α-Li3PS4 (space group Pmn21); conductivity difference from nhq is phase-related
nhq,Li3PS4,8.93e-07,RT,,unknow,thio-LISICON,unknow,10.1021/ja3110895,2013,lattice parameters not matching cif; phase: β-Li3PS4 (space group Pnma); conductivity difference from joc is phase-related
9lx,Li10SnP2S12,0.007,RT,,unknow,LGPS,unknow,10.1021/ja407393y,2013,
whw,Li6.8La3Zr1.8Sb0.2O12,5.9e-05,RT,,unknow,garnet,unknow,10.1039/c3cp50991e,2013,
duf,Li6.6La3Zr1.6Sb0.4O12,0.00077,RT,,unknow,garnet,unknow,10.1039/c3cp50991e,2013,close match: Yes；close match DOI: 10.1016/j.ssi.2019.115185
dll,Li6.4La3Zr1.4Sb0.6O12,0.00066,RT,,unknow,garnet,unknow,10.1039/c3cp50991e,2013,
i90,Li6.2La3Zr1.2Sb0.8O12,0.00045,RT,,unknow,garnet,unknow,10.1039/c3cp50991e,2013,
dm9,Li6La3ZrSbO12,0.00026,RT,,unknow,garnet,unknow,10.1039/c3cp50991e,2013,
hd3,Li7GePS8,0.007,RT,,unknow,LGPS,unknow,10.1039/c3ee41728j,2013,
z2s,Nd3Zr2Al0.5Li5.5O12,3.9e-05,RT,,unknow,garnet,unknow,10.1039/c3ta13252h,2013,
kmr,Li10Ge0.95Si0.05P2S12,0.0086,RT,,unknow,thio-LISICON,unknow,10.1016/j.jpowsour.2014.07.159,2014,
47i,Li4P2O7,<1E-10,RT,,unknow,diphosphate,unknow,10.1016/j.jssc.2013.12.015,2014,
hln,Li2Ga2GeS6,3.8e-08,RT,,unknow,sulfides,unknow,10.1016/j.ssi.2014.04.015,2014,
yp3,LiTi2(PO4)3,6e-05,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
tzl,Li1.05Al0.05Ti1.95(PO4)3,0.0011,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
hyj,Li1.1Al0.1Ti1.9(PO4)3,0.00067,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
mg4,Li1.3Al0.3Ti1.7(PO4)3,0.0062,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected；close match: Yes；close match DOI: 10.1016/j.jallcom.2020.155878
50s,Li1.4Al0.4Ti1.6(PO4)3,0.0033,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
d4q,Li1.05Cr0.05Ti1.95(PO4)3,0.00018,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
6he,Li1.1Cr0.1Ti1.9(PO4)3,0.00026,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
pwy,Li1.2Cr0.2Ti1.8(PO4)3,0.00043,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
y9l,Li1.3Cr0.3Ti1.7(PO4)3,0.00029,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
rc1,Li1.05Fe0.05Ti1.95(PO4)3,0.00013,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
lzt,Li1.1Fe0.1Ti1.9(PO4)3,0.00063,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
kbp,Li1.2Fe0.2Ti1.8(PO4)3,0.0014,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
b9u,Li1.3Fe0.3Ti1.7(PO4)3,0.0023,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018,2014,composition should be corrected
ym6,Li1.3Al0.3Ti1.7(PO4)3,0.00121,RT,,unknow,NASICON,unknow,10.1016/j.ssi.2014.07.018|10.1016/j.ssi.2016.07.010,2014,close match: Yes；close match DOI: 10.1016/j.ssi.2019.115192
sqm,Li6Ba0.5Sr0.5La2Ta2O12,7.1e-06,RT,,unknow,garnet,unknow,10.1021/am4060194,2014,
zxr,Li6SrLa2Ta2O12,5.4e-06,RT,,unknow,garnet,unknow,10.1021/am4060194,2014,
h89,Li6BaLa2Ta2O12,1.5e-05,RT,,unknow,garnet,unknow,10.1021/am4060194,2014,
l9r,Li6CaLa2Ta2O12,2.2e-06,RT,,unknow,garnet,unknow,10.1021/am4060194,2014,
z53,Li6.6La3Zr1.6Ta0.4O12,0.000313,RT,,unknow,garnet,unknow,10.1021/am503731h,2014,
8y4,Li6.6La2.875Y0.125Zr1.6Ta0.4O12,0.000317,RT,,unknow,garnet,unknow,10.1021/am503731h,2014,
ucw,Li6.6La2.75Y0.25Zr1.6Ta0.4O12,0.000436,RT,,unknow,garnet,unknow,10.1021/am503731h,2014,
ff9,Li6.6La2.5Y0.5Zr1.6Ta0.4O12,0.000226,RT,,unknow,garnet,unknow,10.1021/am503731h,2014,
ro9,Li3BP2O8,9.6e-12,RT,,unknow,Borophosphates,unknow,10.1039/c3dt52917g,2014,
4p7,Li3ClO,0.025,RT,,unknow,antiperovskite,unknow,10.1039/c3ta15087a,2014,close match: Yes；close match DOI: mp-985585
dc8,Li9Mg3(PO4)4F3,<1E-10,RT,,unknow,fluorophosphates,unknow,10.1039/c3ta15264b,2014,
mqo,Li3.45Si0.45P0.55S4,0.00673,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,refer D2 - 109; 252037-ICSD
izs,Li3.475Si0.475P0.525S4,0.00527,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,
8nc,Li3.425Si0.425P0.575S4,0.00565,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,
3sx,Li3.4Si0.4P0.6S4,0.00421,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,
xga,Li3.335Sn0.33P0.67S4,0.00373,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,
xn9,Li3.3Sn0.3P0.7S4,0.00365,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,
sg4,Li3.285Sn0.28P0.72S4,0.00436,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,
ns3,Li3.27Sn0.27P0.73S4,0.00496,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,
g8j,Li3.26Sn0.26P0.74S4,0.00453,RT,,unknow,LGPS,unknow,10.1039/c4fd00143e,2014,
